文件	段号	段内偏移	编码	字符串
stage06.stg	5092	0x4	big5	小農場
stage06.stg	5116	0x4	big5	鐵礦場
stage06.stg	5116	0x0	ascii	0029
stage06.stg	5139	0x4	big5	中商場
stage06.stg	5139	0x0	ascii	0028
stage06.stg	5163	0x4	big5	化物場
stage06.stg	5163	0x0	ascii	0027
stage06.stg	5187	0x4	big5	中商場
stage06.stg	5187	0x0	ascii	0026
stage06.stg	5201	0x4	big5	中工廠
stage06.stg	5201	0x0	ascii	0025
stage06.stg	5260	0x4	big5	小農場
stage06.stg	5260	0x0	ascii	0024
stage06.stg	5284	0x4	big5	中工廠
stage06.stg	5284	0x0	ascii	0023
stage06.stg	5339	0x4	big5	砂土場
stage06.stg	5355	0x4	big5	木材場
stage06.stg	5355	0x0	ascii	0021
stage06.stg	5372	0x2	big5	精工企業
stage06.stg	5373	0x4	big5	小工廠
stage06.stg	5373	0x0	ascii	0026
stage06.stg	5396	0x4	big5	大商場
stage06.stg	5396	0x0	ascii	0025
stage06.stg	5410	0x4	big5	中農場
stage06.stg	5410	0x0	ascii	0024
stage06.stg	5434	0x4	big5	小工廠
stage06.stg	5434	0x0	ascii	0023
stage06.stg	5467	0x4	big5	中工廠
stage06.stg	5530	0x4	big5	鋁礦場
stage06.stg	5530	0x0	ascii	0021
stage06.stg	5553	0x4	big5	小工廠
stage06.stg	5577	0x4	big5	中工廠
stage06.stg	5577	0x0	ascii	0019
stage06.stg	5632	0x4	big5	中農場
stage06.stg	5632	0x0	ascii	0018
stage06.stg	5675	0x4	big5	木材場
stage06.stg	5675	0x0	ascii	0017
stage06.stg	5698	0x4	big5	砂土場
stage06.stg	5698	0x0	ascii	0016
stage06.stg	5715	0x4	big5	鐵礦場
stage06.stg	5715	0x0	ascii	0015
stage06.stg	5743	0x4	big5	小工廠
stage06.stg	5743	0x0	ascii	0014
stage06.stg	5770	0x4	big5	木材場
stage06.stg	5770	0x0	ascii	0013
stage06.stg	5787	0x2	big5	加樂福企業
stage06.stg	5788	0x4	big5	小工廠
stage06.stg	5788	0x0	ascii	0026
stage06.stg	5812	0x4	big5	煤碳場
stage06.stg	5812	0x0	ascii	0025
stage06.stg	5829	0x4	big5	小農場
stage06.stg	5829	0x0	ascii	0024
stage06.stg	5853	0x4	big5	小工廠
stage06.stg	5853	0x0	ascii	0023
stage06.stg	5877	0x4	big5	小商場
stage06.stg	5891	0x4	big5	中農場
stage06.stg	5891	0x0	ascii	0021
stage06.stg	5928	0xB	ascii	T9lh
stage06.stg	5934	0x4	big5	大工廠
stage06.stg	6024	0x4	big5	小工廠
stage06.stg	6024	0x0	ascii	0019
stage06.stg	6053	0x4	big5	矽礦場
stage06.stg	6053	0x0	ascii	0018
stage06.stg	6082	0x4	big5	砂土場
stage06.stg	6082	0x0	ascii	0017
stage06.stg	6097	0x4	big5	煤碳場
stage06.stg	6097	0x0	ascii	0016
stage06.stg	6122	0x4	big5	油礦場
stage06.stg	6122	0x0	ascii	0015
stage06.stg	6145	0x4	big5	鐵礦場
stage06.stg	6145	0x0	ascii	0014
stage07.stg	0	0xC	ascii	Map02
stage07.stg	1	0x2	big5	創業王企業
stage07.stg	2	0x4	big5	大工廠
stage07.stg	4	0x4	big5	合併廠
stage07.stg	58	0x2	big5	單菱商社
stage07.stg	59	0x4	big5	鐵礦場
stage07.stg	82	0x4	big5	木材場
stage07.stg	104	0x4	big5	砂土場
stage07.stg	132	0x4	big5	矽礦場
stage07.stg	181	0x2	big5	耐急企業
stage07.stg	182	0x2	big5	風力富企業
stage07.stg	183	0x4	big5	合併廠
stage07.stg	235	0x2	big5	七十一企業
stage07.stg	236	0x2	big5	微硬公司
stage07.stg	237	0x2	big5	敗耳企業
stage07.stg	238	0x2	big5	大牧場企業
stage07.stg	239	0x4	big5	木材場
stage07.stg	256	0x4	big5	大工廠
stage07.stg	288	0x2	big5	農產公司
stage07.stg	289	0x4	big5	化物場
stage07.stg	312	0x4	big5	小工廠
stage07.stg	339	0x4	big5	鐵礦場
stage07.stg	356	0x4	big5	砂土場
stage07.stg	373	0x4	big5	小商場
stage07.stg	375	0x2	big5	資源產業
stage07.stg	376	0x4	big5	小工廠
stage07.stg	403	0x4	big5	小商場
stage07.stg	416	0x2	big5	木造實業
stage07.stg	417	0x4	big5	砂土場
stage07.stg	434	0x4	big5	煤碳場
stage07.stg	451	0x4	big5	油礦場
stage07.stg	468	0x2	big5	文房企業
stage07.stg	469	0x4	big5	小工廠
stage07.stg	498	0x4	big5	小工廠
stage07.stg	523	0x4	big5	小商場
stage07.stg	536	0x4	big5	砂土場
stage07.stg	551	0x4	big5	小商場
stage07.stg	564	0x4	big5	鐵礦場
stage07.stg	587	0x2	big5	全電子企業
stage07.stg	588	0x4	big5	鐵礦場
stage07.stg	611	0x4	big5	煤碳場
stage07.stg	634	0x4	big5	砂土場
stage07.stg	650	0x4	big5	小工廠
stage07.stg	677	0x4	big5	木材場
stage07.stg	700	0x2	big5	小家電公司
stage07.stg	701	0x4	big5	小工廠
stage07.stg	728	0x4	big5	小工廠
stage07.stg	758	0x4	big5	木材場
stage07.stg	764	0xB	ascii	TNe\t
stage07.stg	775	0x2	big5	大矽谷產業
stage07.stg	776	0x4	big5	砂土場
stage07.stg	799	0x2	big5	陶藝企業
stage07.stg	800	0x2	big5	書香企業
stage07.stg	801	0x4	big5	矽礦場
stage07.stg	818	0x4	big5	小工廠
stage07.stg	842	0x4	big5	小商場
stage07.stg	865	0x2	big5	有巢氏實業
stage07.stg	866	0x4	big5	化物場
stage07.stg	883	0x4	big5	油礦場
stage07.stg	912	0x4	big5	煤碳場
stage07.stg	929	0x4	big5	砂土場
stage07.stg	947	0x4	big5	小工廠
stage07.stg	977	0x2	big5	精工企業
stage07.stg	978	0x4	big5	木材場
stage07.stg	995	0x4	big5	小工廠
stage07.stg	1018	0x4	big5	鐵礦場
stage07.stg	1041	0x2	big5	加樂福企業
stage07.stg	1042	0x4	big5	木材場
stage08.stg	0	0xC	ascii	Map16
stage08.stg	1	0x2	big5	創業王企業
stage08.stg	2	0x4	big5	大工廠
stage08.stg	4	0x4	big5	小商場
stage08.stg	6	0x2	big5	單菱商社
stage08.stg	7	0x4	big5	大工廠
stage08.stg	71	0x4	big5	鋁礦場
stage08.stg	95	0x4	big5	油礦場
stage08.stg	123	0x4	big5	砂土場
stage08.stg	196	0x4	big5	木材場
stage08.stg	269	0x4	big5	鐵礦場
stage08.stg	342	0x2	big5	耐急企業
stage08.stg	343	0x4	big5	大工廠
stage08.stg	376	0xB	ascii	Qa/1
stage08.stg	378	0xB	ascii	Q>?5
stage08.stg	418	0x2	big5	風力富企業
stage08.stg	419	0x4	big5	合併廠
stage08.stg	433	0xB	ascii	d>tZ
stage08.stg	435	0xB	ascii	d@"^
stage08.stg	436	0xB	ascii	d"-W
stage08.stg	437	0xB	ascii	dBg\
stage08.stg	444	0xB	ascii	dB%Y
stage08.stg	538	0x2	big5	七十一企業
stage08.stg	539	0x4	big5	小商場
stage08.stg	575	0x2	big5	微硬公司
stage08.stg	576	0x2	big5	敗耳企業
stage08.stg	577	0x2	big5	大牧場企業
stage08.stg	578	0x4	big5	鋁礦場
stage08.stg	578	0x0	ascii	0015
stage08.stg	582	0xB	ascii	R-O\t
stage08.stg	586	0xB	ascii	R-O\t
stage08.stg	589	0xB	ascii	R-O\t
stage08.stg	601	0x4	big5	煤碳場
stage08.stg	601	0x0	ascii	0014
stage08.stg	618	0x4	big5	小商場
stage08.stg	618	0x0	ascii	0013
stage08.stg	632	0x4	big5	中工廠
stage08.stg	632	0x0	ascii	0012
stage08.stg	656	0x4	big5	中工廠
stage08.stg	689	0x4	big5	中工廠
stage08.stg	703	0xB	ascii	>$jd
stage08.stg	723	0x4	big5	小農場
stage08.stg	747	0x4	big5	小工廠
stage08.stg	776	0x4	big5	小工廠
stage08.stg	800	0x4	big5	中工廠
stage08.stg	862	0x4	big5	木材場
stage08.stg	885	0x2	big5	農產公司
stage08.stg	886	0x4	big5	中農場
stage08.stg	886	0x0	ascii	0018
stage08.stg	910	0x4	big5	小工廠
stage08.stg	910	0x0	ascii	0017
stage08.stg	942	0x4	big5	小農場
stage08.stg	942	0x0	ascii	0016
stage08.stg	966	0x4	big5	小工廠
stage08.stg	966	0x0	ascii	0015
stage08.stg	997	0x4	big5	中工廠
stage08.stg	997	0x0	ascii	0014
stage08.stg	1021	0x4	big5	小工廠
stage08.stg	1021	0x0	ascii	0013
stage08.stg	1045	0x4	big5	大工廠
stage08.stg	1045	0x0	ascii	0012
stage08.stg	1089	0x4	big5	矽礦場
stage08.stg	1105	0x4	big5	中農場
stage08.stg	1148	0x4	big5	中商場
stage08.stg	1213	0x4	big5	小工廠
stage08.stg	1241	0x4	big5	小工廠
stage08.stg	1268	0x4	big5	小工廠
stage08.stg	1298	0x2	big5	資源產業
stage08.stg	1299	0x4	big5	鋁礦場
stage08.stg	1299	0x0	ascii	0019
stage08.stg	1316	0x4	big5	煤碳場
stage08.stg	1316	0x0	ascii	0018
stage08.stg	1333	0x4	big5	小工廠
stage08.stg	1333	0x0	ascii	0017
stage08.stg	1348	0xB	ascii	I$Hz
stage08.stg	1361	0x4	big5	中工廠
stage08.stg	1361	0x0	ascii	0016
stage08.stg	1413	0x4	big5	中工廠
stage08.stg	1413	0x0	ascii	0015
stage08.stg	1446	0x4	big5	大工廠
stage08.stg	1446	0x0	ascii	0014
stage08.stg	1491	0x4	big5	小工廠
stage08.stg	1491	0x0	ascii	0013
stage08.stg	1522	0x4	big5	小農場
stage08.stg	1522	0x0	ascii	0012
stage08.stg	1546	0x4	big5	化物場
stage08.stg	1575	0x4	big5	小商場
stage08.stg	1599	0x4	big5	矽礦場
stage08.stg	1615	0x4	big5	煤碳場
stage08.stg	1633	0x4	big5	鐵礦場
stage08.stg	1650	0x4	big5	砂土場
stage08.stg	1679	0x2	big5	木造實業
stage08.stg	1680	0x4	big5	煤碳場
stage08.stg	1680	0x0	ascii	0014
stage08.stg	1697	0x4	big5	砂土場
stage08.stg	1697	0x0	ascii	0013
stage08.stg	1715	0x4	big5	小工廠
stage08.stg	1715	0x0	ascii	0012
stage08.stg	1744	0x4	big5	大工廠
stage08.stg	1782	0xB	ascii	M~O@
stage08.stg	1788	0xB	ascii	M~O@
stage08.stg	1796	0x4	big5	小工廠
stage08.stg	1806	0xB	ascii	M@/s
stage08.stg	1823	0x4	big5	鐵礦場
stage08.stg	1832	0xB	ascii	7`K\t
stage08.stg	1834	0xB	ascii	7`K\t
stage08.stg	1840	0x4	big5	砂土場
stage08.stg	1857	0x4	big5	小農場
stage08.stg	1881	0x4	big5	大工廠
stage08.stg	1901	0xB	ascii	O@KW
stage08.stg	1905	0xB	ascii	Q@KW
stage08.stg	1913	0xB	ascii	Q@KW
stage08.stg	1916	0xB	ascii	O@KW
stage08.stg	1972	0x2	big5	文房企業
stage08.stg	1973	0x4	big5	小工廠
stage08.stg	1973	0x0	ascii	0016
stage08.stg	1997	0x4	big5	小農場
stage08.stg	1997	0x0	ascii	0015
stage08.stg	2021	0x4	big5	中工廠
stage08.stg	2021	0x0	ascii	0014
stage08.stg	2082	0x4	big5	中農場
stage08.stg	2082	0x0	ascii	0013
stage08.stg	2106	0x4	big5	中工廠
stage08.stg	2106	0x0	ascii	0012
stage08.stg	2163	0x4	big5	小工廠
stage08.stg	2171	0xB	ascii	NC39
stage08.stg	2174	0xB	ascii	NC39
stage08.stg	2187	0x4	big5	中工廠
stage08.stg	2248	0x4	big5	中商場
stage08.stg	2263	0x4	big5	小工廠
stage08.stg	2291	0x4	big5	油礦場
stage08.stg	2308	0x2	big5	全電子企業
stage08.stg	2309	0x4	big5	小工廠
stage08.stg	2309	0x0	ascii	0021
stage08.stg	2333	0x4	big5	鋁礦場
stage08.stg	2362	0x4	big5	中農場
stage08.stg	2362	0x0	ascii	0019
stage08.stg	2386	0x4	big5	小農場
stage08.stg	2386	0x0	ascii	0018
stage08.stg	2400	0xB	ascii	^!kC
stage08.stg	2410	0x4	big5	砂土場
stage08.stg	2410	0x0	ascii	0017
stage08.stg	2427	0x4	big5	中農場
stage08.stg	2427	0x0	ascii	0016
stage08.stg	2451	0x4	big5	小工廠
stage08.stg	2451	0x0	ascii	0015
stage08.stg	2475	0x4	big5	小工廠
stage08.stg	2475	0x0	ascii	0014
stage08.stg	2508	0x4	big5	中農場
stage08.stg	2508	0x0	ascii	0013
stage08.stg	2533	0xB	ascii	^!@A
stage08.stg	2537	0xB	ascii	^!@A
stage08.stg	2541	0xB	ascii	_!fE
stage08.stg	2551	0xB	ascii	UrCu
stage08.stg	2562	0x4	big5	小工廠
stage08.stg	2562	0x0	ascii	0012
stage08.stg	2586	0x4	big5	中工廠
stage08.stg	2606	0xB	ascii	C8G~
stage08.stg	2612	0xB	ascii	Gn$A
stage08.stg	2620	0xB	ascii	GnG?
stage08.stg	2637	0x4	big5	砂土場
stage08.stg	2661	0x4	big5	矽礦場
stage08.stg	2678	0x4	big5	煤碳場
stage08.stg	2693	0x4	big5	油礦場
stage08.stg	2707	0x4	big5	鐵礦場
stage08.stg	2711	0xB	ascii	4`f\t
stage08.stg	2713	0xB	ascii	4`a\t
stage08.stg	2717	0xB	ascii	4`f\t
stage08.stg	2720	0xB	ascii	4`k\t
stage08.stg	2721	0xB	ascii	4`k\t
stage08.stg	2724	0x2	big5	小家電公司
stage08.stg	2725	0x4	big5	小工廠
stage08.stg	2725	0x0	ascii	0019
stage08.stg	2757	0x4	big5	小農場
stage08.stg	2757	0x0	ascii	0018
stage08.stg	2769	0xB	ascii	]j6A
stage08.stg	2775	0xB	ascii	]j_B
stage08.stg	2777	0xB	ascii	]!#B
stage08.stg	2781	0x4	big5	小工廠
stage08.stg	2781	0x0	ascii	0017
stage08.stg	2811	0x4	big5	小工廠
stage08.stg	2811	0x0	ascii	0016
stage08.stg	2834	0x4	big5	小工廠
stage08.stg	2834	0x0	ascii	0015
stage08.stg	2867	0x4	big5	中商場
stage08.stg	2867	0x0	ascii	0014
stage08.stg	2881	0x4	big5	中工廠
stage08.stg	2881	0x0	ascii	0013
stage08.stg	2910	0xB	ascii	^~R9
stage08.stg	2925	0x4	big5	中農場
stage08.stg	2925	0x0	ascii	0012
stage08.stg	2949	0x4	big5	中工廠
stage08.stg	3011	0x4	big5	小工廠
stage08.stg	3022	0xB	ascii	NWGc
stage08.stg	3029	0xB	ascii	NqcY
stage08.stg	3040	0x4	big5	化物場
stage08.stg	3057	0x2	big5	大矽谷產業
stage08.stg	3058	0x4	big5	中工廠
stage08.stg	3058	0x0	ascii	0029
stage08.stg	3090	0x4	big5	小工廠
stage08.stg	3090	0x0	ascii	0028
stage08.stg	3118	0x4	big5	小農場
stage08.stg	3118	0x0	ascii	0027
stage08.stg	3142	0x4	big5	煤碳場
stage08.stg	3142	0x0	ascii	0026
stage08.stg	3160	0x4	big5	中商場
stage08.stg	3160	0x0	ascii	0025
stage08.stg	3214	0x4	big5	小工廠
stage08.stg	3214	0x0	ascii	0024
stage08.stg	3238	0x4	big5	化物場
stage08.stg	3238	0x0	ascii	0023
stage08.stg	3255	0x4	big5	小商場
stage08.stg	3269	0x4	big5	小工廠
stage08.stg	3269	0x0	ascii	0021
stage08.stg	3300	0x4	big5	小商場
stage08.stg	3314	0x4	big5	小農場
stage08.stg	3314	0x0	ascii	0019
stage08.stg	3338	0x4	big5	中工廠
stage08.stg	3338	0x0	ascii	0018
stage08.stg	3391	0x4	big5	小工廠
stage08.stg	3391	0x0	ascii	0017
stage08.stg	3423	0x4	big5	小工廠
stage08.stg	3423	0x0	ascii	0016
stage08.stg	3447	0x4	big5	煤碳場
stage08.stg	3447	0x0	ascii	0015
stage08.stg	3471	0x4	big5	鐵礦場
stage08.stg	3471	0x0	ascii	0014
stage08.stg	3488	0x4	big5	砂土場
stage08.stg	3488	0x0	ascii	0013
stage08.stg	3506	0x4	big5	矽礦場
stage08.stg	3506	0x0	ascii	0012
stage08.stg	3523	0x2	big5	陶藝企業
stage08.stg	3524	0x4	big5	小工廠
stage08.stg	3524	0x0	ascii	0013
stage08.stg	3553	0x4	big5	小工廠
stage08.stg	3553	0x0	ascii	0012
stage08.stg	3585	0x4	big5	大農場
stage08.stg	3609	0x4	big5	中工廠
stage08.stg	3615	0xB	ascii	a~q=
stage08.stg	3617	0xB	ascii	a~9?
stage08.stg	3619	0xB	ascii	a~q=
stage08.stg	3621	0xB	ascii	a~V>
stage08.stg	3627	0xB	ascii	a~9?
stage08.stg	3633	0x4	big5	小商場
stage08.stg	3648	0x4	big5	小工廠
stage08.stg	3677	0x4	big5	中工廠
stage08.stg	3729	0x4	big5	小農場
stage08.stg	3753	0x2	big5	書香企業
stage08.stg	3754	0x4	big5	小工廠
stage08.stg	3754	0x0	ascii	0015
stage08.stg	3787	0x4	big5	大農場
stage08.stg	3787	0x0	ascii	0014
stage08.stg	3797	0xB	ascii	[!U@
stage08.stg	3811	0x4	big5	小工廠
stage08.stg	3811	0x0	ascii	0013
stage08.stg	3839	0x4	big5	砂土場
stage08.stg	3839	0x0	ascii	0012
stage08.stg	3856	0x4	big5	小商場
stage08.stg	3891	0x4	big5	小工廠
stage08.stg	3920	0x4	big5	小農場
stage08.stg	3928	0xB	ascii	UY9n
stage08.stg	3930	0xB	ascii	XkLd
stage08.stg	3944	0x4	big5	油礦場
stage08.stg	3957	0xB	ascii	Q`3\t
stage08.stg	3961	0x4	big5	中商場
stage08.stg	3975	0x4	big5	中工廠
stage08.stg	4003	0xB	ascii	]xmK
stage08.stg	4007	0xB	ascii	]xmK
stage08.stg	4016	0xB	ascii	Ms#,
stage08.stg	4035	0x4	big5	木材場
stage08.stg	4052	0x2	big5	有巢氏實業
stage08.stg	4053	0x4	big5	砂土場
stage08.stg	4053	0x0	ascii	0017
stage08.stg	4076	0x4	big5	小工廠
stage08.stg	4076	0x0	ascii	0016
stage08.stg	4107	0x4	big5	小工廠
stage08.stg	4107	0x0	ascii	0015
stage08.stg	4113	0xB	ascii	YY?T
stage08.stg	4132	0xB	ascii	YY`S
stage08.stg	4136	0x4	big5	鋁礦場
stage08.stg	4136	0x0	ascii	0014
stage08.stg	4153	0x4	big5	大工廠
stage08.stg	4153	0x0	ascii	0013
stage08.stg	4212	0x4	big5	煤碳場
stage08.stg	4212	0x0	ascii	0012
stage08.stg	4229	0x4	big5	小工廠
stage08.stg	4258	0x4	big5	小工廠
stage08.stg	4270	0xB	ascii	F~K>
stage08.stg	4282	0x4	big5	小工廠
stage08.stg	4307	0xB	ascii	L(aq
stage08.stg	4311	0x4	big5	小農場
stage08.stg	4317	0xB	ascii	NFu}
stage08.stg	4335	0x4	big5	中工廠
stage08.stg	4368	0xB	ascii	O&^9
stage08.stg	4377	0xB	ascii	E:0-
stage08.stg	4388	0x4	big5	木材場
stage08.stg	4405	0x2	big5	精工企業
stage08.stg	4406	0x4	big5	矽礦場
stage08.stg	4406	0x0	ascii	0017
stage08.stg	4427	0x4	big5	中農場
stage08.stg	4427	0x0	ascii	0016
stage08.stg	4451	0x4	big5	小工廠
stage08.stg	4451	0x0	ascii	0015
stage08.stg	4461	0xB	ascii	^~%6
stage08.stg	4463	0xB	ascii	^~\t7
stage08.stg	4475	0x4	big5	小商場
stage08.stg	4475	0x0	ascii	0014
stage08.stg	4489	0x4	big5	中工廠
stage08.stg	4489	0x0	ascii	0013
stage08.stg	4513	0x4	big5	大工廠
stage08.stg	4513	0x0	ascii	0012
stage08.stg	4576	0x4	big5	中農場
stage08.stg	4619	0x4	big5	小商場
stage08.stg	4644	0x4	big5	小工廠
stage08.stg	4660	0xB	ascii	F81p
stage08.stg	4676	0x4	big5	大商場
stage08.stg	4780	0x4	big5	小工廠
stage08.stg	4812	0x2	big5	加樂福企業
stage08.stg	4813	0x4	big5	中工廠
stage08.stg	4856	0x4	big5	小工廠
stage08.stg	4889	0x4	big5	鐵礦場
stage08.stg	4906	0x4	big5	大工廠
stage08.stg	4974	0x4	big5	小農場
stage08.stg	4998	0x4	big5	中商場
stage08.stg	5032	0xB	ascii	M@}[
stage08.stg	5035	0xB	ascii	O@}[
stage08.stg	5065	0x4	big5	中工廠
stage09.stg	0	0xC	ascii	Map04
stage09.stg	1	0x2	big5	創業王企業
stage09.stg	2	0x2	big5	單菱商社
stage09.stg	3	0x4	big5	煤碳場
stage09.stg	68	0x4	big5	木材場
stage09.stg	137	0x4	big5	砂土場
stage09.stg	226	0x4	big5	鐵礦場
stage09.stg	233	0xB	ascii	a`D 
stage09.stg	284	0xB	ascii	a`D 
stage09.stg	290	0xB	ascii	a`A 
stage09.stg	315	0x4	big5	矽礦場
stage09.stg	397	0x4	big5	化物場
stage09.stg	486	0x4	big5	鋁礦場
stage09.stg	491	0xB	ascii	a-`3
stage09.stg	494	0xB	ascii	b-/2
stage09.stg	495	0xB	ascii	b-/0
stage09.stg	496	0xB	ascii	b-/0
stage09.stg	497	0xB	ascii	b-/2
stage09.stg	501	0xB	ascii	b-.4
stage09.stg	503	0xB	ascii	b-0.
stage09.stg	504	0xB	ascii	b-0.
stage09.stg	506	0xB	ascii	b-6+
stage09.stg	507	0xB	ascii	b-/2
stage09.stg	508	0xB	ascii	b-/0
stage09.stg	511	0xB	ascii	b-`2
stage09.stg	512	0xB	ascii	b-/0
stage09.stg	513	0xB	ascii	b-:0
stage09.stg	520	0xB	ascii	b-/0
stage09.stg	524	0xB	ascii	b-:0
stage09.stg	525	0xB	ascii	b-/0
stage09.stg	528	0xB	ascii	a-_5
stage09.stg	530	0xB	ascii	b-/0
stage09.stg	531	0xB	ascii	b--6
stage09.stg	534	0xB	ascii	b-/0
stage09.stg	536	0xB	ascii	a-_7
stage09.stg	538	0xB	ascii	a-\t8
stage09.stg	539	0xB	ascii	a-\t8
stage09.stg	540	0xB	ascii	a-_5
stage09.stg	542	0xB	ascii	b-/2
stage09.stg	543	0xB	ascii	b-/2
stage09.stg	545	0xB	ascii	a-_5
stage09.stg	554	0xB	ascii	b-/2
stage09.stg	555	0xB	ascii	b-/2
stage09.stg	557	0xB	ascii	b-0.
stage09.stg	560	0xB	ascii	b-/0
stage09.stg	561	0xB	ascii	b-/2
stage09.stg	564	0xB	ascii	b-.4
stage09.stg	567	0xB	ascii	a-a1
stage09.stg	568	0xB	ascii	a-_7
stage09.stg	575	0x4	big5	油礦場
stage09.stg	580	0xB	ascii	^`5'
stage09.stg	581	0xB	ascii	^`r(
stage09.stg	583	0xB	ascii	^`5'
stage09.stg	588	0xB	ascii	^`D"
stage09.stg	601	0xB	ascii	^`4'
stage09.stg	609	0xB	ascii	^`5'
stage09.stg	626	0xB	ascii	^`5'
stage09.stg	631	0xB	ascii	^`r(
stage09.stg	637	0xB	ascii	^`L*
stage09.stg	640	0xB	ascii	^`L*
stage09.stg	641	0xB	ascii	^`5'
stage09.stg	642	0xB	ascii	^`r(
stage09.stg	643	0xB	ascii	^`5'
stage09.stg	644	0xB	ascii	^`5'
stage09.stg	648	0xB	ascii	^`r(
stage09.stg	650	0xB	ascii	^`c-
stage09.stg	652	0xB	ascii	^`L*
stage09.stg	655	0xB	ascii	^`r(
stage09.stg	658	0xB	ascii	^`5'
stage09.stg	660	0xB	ascii	^`r(
stage09.stg	664	0x2	big5	耐急企業
stage09.stg	665	0x4	big5	大工廠
stage09.stg	721	0xB	ascii	_$'a
stage09.stg	722	0xB	ascii	_/#d
stage09.stg	723	0xB	ascii	_E{Q
stage09.stg	729	0xB	ascii	_,jW
stage09.stg	773	0x4	big5	大工廠
stage09.stg	834	0xB	ascii	_^SZ
stage09.stg	843	0xB	ascii	_~LR
stage09.stg	855	0xB	ascii	_]TY
stage09.stg	861	0x4	big5	大工廠
stage09.stg	955	0x4	big5	大工廠
stage09.stg	1041	0x4	big5	大工廠
stage09.stg	1139	0x4	big5	大工廠
stage09.stg	1216	0x2	big5	風力富企業
stage09.stg	1217	0x4	big5	大農場
stage09.stg	1269	0xB	ascii	dFU 
stage09.stg	1292	0xB	ascii	dFU 
stage09.stg	1313	0x4	big5	大農場
stage09.stg	1365	0x2	big5	七十一企業
stage09.stg	1366	0x4	big5	大商場
stage09.stg	1430	0x2	big5	微硬公司
stage09.stg	1431	0x2	big5	敗耳企業
stage09.stg	1432	0x2	big5	大牧場企業
stage09.stg	1433	0x4	big5	小工廠
stage09.stg	1466	0x4	big5	小農場
stage09.stg	1490	0x4	big5	中農場
stage09.stg	1533	0x4	big5	大工廠
stage09.stg	1584	0xB	ascii	Z8tG
stage09.stg	1605	0xB	ascii	K>Q#
stage09.stg	1628	0x4	big5	中商場
stage09.stg	1705	0x4	big5	木材場
stage09.stg	1722	0x2	big5	農產公司
stage09.stg	1723	0x4	big5	中工廠
stage09.stg	1755	0x4	big5	大農場
stage09.stg	1784	0xB	ascii	Xgz`
stage09.stg	1788	0xB	ascii	Xqq^
stage09.stg	1798	0x4	big5	小商場
stage09.stg	1833	0x4	big5	大工廠
stage09.stg	1875	0xB	ascii	]8BD
stage09.stg	1885	0xB	ascii	Z8RC
stage09.stg	1914	0x2	big5	資源產業
stage09.stg	1915	0x4	big5	中工廠
stage09.stg	1947	0x4	big5	中農場
stage09.stg	1971	0x4	big5	小農場
stage09.stg	1995	0x4	big5	中工廠
stage09.stg	2056	0x4	big5	小農場
stage09.stg	2080	0x4	big5	小工廠
stage09.stg	2104	0x2	big5	木造實業
stage09.stg	2105	0x4	big5	小工廠
stage09.stg	2128	0x4	big5	小農場
stage09.stg	2152	0x4	big5	中農場
stage09.stg	2176	0x4	big5	小農場
stage09.stg	2200	0x4	big5	小商場
stage09.stg	2224	0x4	big5	小商場
stage09.stg	2238	0x4	big5	小工廠
stage09.stg	2257	0xB	ascii	aj_/
stage09.stg	2263	0xB	ascii	aj+0
stage09.stg	2270	0x4	big5	中工廠
stage09.stg	2299	0xB	ascii	c#x$
stage09.stg	2301	0xB	ascii	V|J$
stage09.stg	2302	0xB	ascii	c#!$
stage09.stg	2333	0x4	big5	油礦場
stage09.stg	2362	0x4	big5	化物場
stage09.stg	2379	0x2	big5	文房企業
stage09.stg	2380	0x4	big5	小工廠
stage09.stg	2380	0x0	ascii	0013
stage09.stg	2382	0x4	big5	小商場
stage09.stg	2382	0x0	ascii	0012
stage09.stg	2406	0x4	big5	中農場
stage09.stg	2440	0x4	big5	小商場
stage09.stg	2464	0x4	big5	小商場
stage09.stg	2500	0x4	big5	小工廠
stage09.stg	2524	0x4	big5	中農場
stage09.stg	2567	0xB	ascii	XLxc
stage09.stg	2577	0x4	big5	小商場
stage09.stg	2611	0x4	big5	小工廠
stage09.stg	2642	0x4	big5	砂土場
stage09.stg	2660	0x2	big5	全電子企業
stage09.stg	2661	0x4	big5	中農場
stage09.stg	2685	0x4	big5	小商場
stage09.stg	2709	0x4	big5	小商場
stage09.stg	2735	0x4	big5	小農場
stage09.stg	2759	0x4	big5	小工廠
stage09.stg	2791	0x4	big5	砂土場
stage09.stg	2808	0x4	big5	木材場
stage09.stg	2825	0x2	big5	小家電公司
stage09.stg	2826	0x4	big5	小工廠
stage09.stg	2853	0x4	big5	鋁礦場
stage09.stg	2876	0x4	big5	小農場
stage09.stg	2900	0x4	big5	中工廠
stage09.stg	2936	0xB	ascii	St$x
stage09.stg	2940	0xB	ascii	StCw
stage09.stg	2953	0x4	big5	大農場
stage09.stg	2997	0x4	big5	小工廠
stage09.stg	3023	0x4	big5	砂土場
stage09.stg	3047	0x2	big5	大矽谷產業
stage09.stg	3048	0x4	big5	小工廠
stage09.stg	3072	0x4	big5	大農場
stage09.stg	3097	0xB	ascii	X%Ta
stage09.stg	3099	0xB	ascii	Zq0a
stage09.stg	3115	0x4	big5	小工廠
stage09.stg	3125	0xB	ascii	SWDh
stage09.stg	3140	0xB	ascii	T$Rf
