文件	行号	内容
IO_rule.h	11	BOARD_03,
IO_rule.h	12	BOARD_04,
IO_rule.h	13	BOARD_05,
IO_rule.h	14	BOARD_06,
IO_rule.h	15	BOARD_07,
IO_rule.h	16	BOARD_08,
IO_rule.h	17	BOARD_09,
IO_rule.h	18	SCROLL1,
IO_rule.h	19	BTN_EXIT,
IO_rule.h	20	BTN_SCROLLUP,
IO_rule.h	21	BTN_SCROLLDN,
IO_rule.h	22	UNUSE_OBJ21,
IO_rule.h	23	UNUSE_OBJ22,
IO_rule.h	24	UNUSE_OBJ23,
IO_rule.h	25	UNUSE_OBJ24
IO_rule.h	26	};
IO_rule_1.h	1	enum {
IO_rule_1.h	2	BOARD,
IO_rule_1.h	3	NAME,
IO_rule_1.h	4	BTN_DEL,
IO_rule_1.h	5	BTN_ADD,
IO_rule_1.h	6	DEC_STORAGE,
IO_rule_1.h	7	WANT_STORAGE,
IO_rule_1.h	8	INC_STORAGE,
IO_rule_1.h	9	BUY_RULE,
IO_rule_1.h	10	SALE_RULE,
IO_rule_1.h	11	DEC_BUYPRICE,
IO_rule_1.h	12	BUY_PRICE,
IO_rule_1.h	13	INC_BUYPRICE,
IO_rule_1.h	14	DEC_SALEPRICE,
IO_rule_1.h	15	SALE_PRICE,
IO_rule_1.h	16	INC_SALEPRICE,
IO_rule_1.h	17	DEC_QUALITY,
IO_rule_1.h	18	QUALITY,
IO_rule_1.h	19	INC_QUALITY,
IO_rule_1.h	20	BUY_AVAILABLE,
IO_rule_1.h	21	RETAIL_RULE,
IO_rule_1.h	22	DEC_RETAIL_COST,
IO_rule_1.h	23	RETAIL_COST,
IO_rule_1.h	24	INC_RETAIL_COST,
IO_rule_1.h	25	UNUSE_OBJ31,
IO_rule_1.h	26	UNUSE_OBJ32,
IO_rule_1.h	27	UNUSE_OBJ60,
IO_rule_1.h	28	UNUSE_OBJ48,
IO_rule_1.h	29	UNIT_BUY_PRICE,
IO_rule_1.h	30	UNUSE_OBJ33,
IO_rule_1.h	31	BOX_AMOUNT1,
IO_rule_1.h	32	UNUSE_OBJ35,
IO_rule_1.h	33	UNIT_SALE_PRICE,
IO_rule_1.h	34	UNUSE_OBJ37,
IO_rule_1.h	35	BOX_AMOUNT2,
IO_rule_1.h	36	UNUSE_OBJ39,
IO_rule_1.h	37	UNUSE_OBJ41,
IO_rule_1.h	38	WANT_STORAGE1,
IO_rule_1.h	39	STORAGE_ORG,
IO_rule_1.h	40	UNUSE_OBJ45,
IO_rule_1.h	41	STORAGE_INC,
IO_rule_1.h	42	UNUSE_OBJ47,
IO_rule_1.h	43	STORAGE_DEC,
IO_rule_1.h	44	UNUSE_OBJ49,
IO_rule_1.h	45	STORAGE,
IO_rule_1.h	46	UNUSE_OBJ471,
IO_rule_1.h	47	UNUSE_OBJ418
IO_rule_1.h	48	};
IO_rule_list.h	1	enum {
IO_rule_list.h	2	LIST
IO_rule_list.h	3	};
Load-1.h	1	enum {
Load-1.h	2	BTN_EXIT,
Load-1.h	3	BTN_SAVE,
Load-1.h	4	BTN_LOAD,
Load-1.h	5	BTN_MAINMENU,
Load-1.h	6	BTN_EXITGAME,
Load-1.h	7	UNUSE_OBJ6,
Load-1.h	8	BTN_SAVE_WORD,
Load-1.h	9	BTN_LOAD_WORD,
Load-1.h	10	BTN_MAINMENU_WORD,
Load-1.h	11	BTN_EXITGAME_WORD
Load-1.h	12	};
Load.h	1	enum {
Load.h	2	UNUSE_OBJ1,
Load.h	3	UNUSE_OBJ2,
Load.h	4	BTN_EXIT,
Load.h	5	BTN_GO,
Load.h	6	BTN_1,
Load.h	7	BTN_2,
Load.h	8	BTN_3,
Load.h	9	BTN_4,
Load.h	10	BTN_5,
Load.h	11	BTN_6,
Load.h	12	BTN_7,
Load.h	13	BTN_8,
Load.h	14	BTN_9,
Load.h	15	BTN_10,
Load.h	16	LIST_LOAD
Load.h	17	};
LoadArea.h	1	enum {
LoadArea.h	2	BTN_TITLEBAR,
LoadArea.h	3	SHOW_NAME
LoadArea.h	4	};
LoadConfirm.h	1	enum {
LoadConfirm.h	2	BTN_YES,
LoadConfirm.h	3	BTN_NO,
LoadConfirm.h	4	UNUSE_OBJ3
LoadConfirm.h	5	};
MachineProduct.h	1	enum {
MachineProduct.h	2	UNUSE_OBJ2,
MachineProduct.h	3	SHOW_ITEM_LINE1,
MachineProduct.h	4	BTN_LINE1,
MachineProduct.h	5	BTN_LINE2,
MachineProduct.h	6	BTN_LINE3,
MachineProduct.h	7	BTN_LINE4,
MachineProduct.h	8	BTN_LINE5,
MachineProduct.h	9	SHOW_ITEM_LINE2,
MachineProduct.h	10	SHOW_ITEM_LINE3,
MachineProduct.h	11	SHOW_ITEM_LINE4,
MachineProduct.h	12	SHOW_ITEM_LINE5,
MachineProduct.h	13	SHOW_ITEM_LINE6,
MachineProduct.h	14	SHOW_NAME_BUILDING,
MachineProduct.h	15	SHOW_NAME_BUILDING,
MachineProduct.h	16	SHOW_MACHINE_NAME,
MachineProduct.h	17	SHOW_MACHINE_YEAR
MachineProduct.h	18	};
MainMenu.h	1	enum {
MainMenu.h	2	KUNKA_MODE,
MainMenu.h	3	RANDOM_MODE,
MainMenu.h	4	FAME_HALL,
MainMenu.h	5	EXIT_GAME,
MainMenu.h	6	UNUSE_OBJ5,
MainMenu.h	7	EDIT_VER
MainMenu.h	8	};
MapRotate.h	1	enum {
MapRotate.h	2	BTN_LEFT,
MapRotate.h	3	BTN_RIGHT
MapRotate.h	4	};
MenuConfirm.h	1	enum {
MenuConfirm.h	2	BTN_YES,
MenuConfirm.h	3	BTN_NO,
MenuConfirm.h	4	UNUSE_OBJ3
MenuConfirm.h	5	};
MyFirmButton.h	1	enum {
MyFirmButton.h	2	BTN_MACHINE,
MyFirmButton.h	3	BTN_PRODUCT,
MyFirmButton.h	4	BTN_REPORT,
MyFirmButton.h	5	BTN_MANAGE,
MyFirmButton.h	6	BTN_NORMAL_INFO
MyFirmButton.h	7	};
MyFirmInfo-Mine.h	1	enum {
MyFirmInfo-Mine.h	2	BTN_ENTER,
MyFirmInfo-Mine.h	3	BTN_REPORT,
MyFirmInfo-Mine.h	4	BTN_MANAGE,
MyFirmInfo-Mine.h	5	UNUSE_OBJ4,
MyFirmInfo-Mine.h	6	SHOW_PROFIT_1,
MyFirmInfo-Mine.h	7	UNUSE_OBJ6,
MyFirmInfo-Mine.h	8	SHOW_PROFIT_2,
MyFirmInfo-Mine.h	9	UNUSE_OBJ8,
MyFirmInfo-Mine.h	10	UNUSE_OBJ9,
MyFirmInfo-Mine.h	11	SHOW_TYPE,
MyFirmInfo-Mine.h	12	UNUSE_OBJ11,
MyFirmInfo-Mine.h	13	SHOW_QUALITY,
MyFirmInfo-Mine.h	14	UNUSE_OBJ13,
MyFirmInfo-Mine.h	15	SHOW_QUANTITY,
MyFirmInfo-Mine.h	16	SHOW_NAME_BUILDING,
MyFirmInfo-Mine.h	17	SHOW_NAME_BUILDING,
MyFirmInfo-Mine.h	18	SHOW_NAME_BUILDING
MyFirmInfo-Mine.h	19	};
MyFirmInfo-Up.h	1	enum {
MyFirmInfo-Up.h	2	SHOW_NAME_FIRM,
MyFirmInfo-Up.h	3	UNUSE_OBJ2,
MyFirmInfo-Up.h	4	SHOW_PROFIT,
MyFirmInfo-Up.h	5	UNUSE_OBJ4,
MyFirmInfo-Up.h	6	SHOW_PROFIT_1,
MyFirmInfo-Up.h	7	UNUSE_OBJ6
MyFirmInfo-Up.h	8	};
MyFirmInfo.h	1	enum {
MyFirmInfo.h	2	BTN_ENTER,
MyFirmInfo.h	3	BTN_REPORT,
MyFirmInfo.h	4	BTN_MANAGE,
MyFirmInfo.h	5	BTN_TITLEBAR,
MyFirmInfo.h	6	SHOW_NAME_BUILDING
MyFirmInfo.h	7	};
MyFirmManage-1.h	1	enum {
MyFirmManage-1.h	2	BTN_RENAME,
MyFirmManage-1.h	3	BTN_RESTART,
MyFirmManage-1.h	4	BTN_SELL,
MyFirmManage-1.h	5	BTN_DECONST,
MyFirmManage-1.h	6	BTN_ENTER,
MyFirmManage-1.h	7	BTN_REPORT,
MyFirmManage-1.h	8	BTN_MANAGE,
MyFirmManage-1.h	9	SHOW_NAME_BUILDING,
MyFirmManage-1.h	10	SHOW_NAME_BUILDING,
MyFirmManage-1.h	11	SHOW_NAME_BUILDING
MyFirmManage-1.h	12	};
MyFirmManage.h	1	enum {
MyFirmManage.h	2	BTN_RENAME,
MyFirmManage.h	3	BTN_STOP,
MyFirmManage.h	4	BTN_DECONST,
MyFirmManage.h	5	BTN_RESTART,
MyFirmManage.h	6	BTN_TITLEBAR,
MyFirmManage.h	7	SHOW_NAME_BUILDING
MyFirmManage.h	8	};
MyFirmRemove.h	1	enum {
MyFirmRemove.h	2	BTN_YES,
MyFirmRemove.h	3	BTN_NO,
MyFirmRemove.h	4	UNUSE_OBJ3
MyFirmRemove.h	5	};
MyFirmRename.h	1	enum {
MyFirmRename.h	2	BTN_YES,
MyFirmRename.h	3	BTN_NO,
MyFirmRename.h	4	SHOW_NEWNAME,
MyFirmRename.h	5	UNUSE_OBJ4
MyFirmRename.h	6	};
MyFirmReport.h	1	enum {
MyFirmReport.h	2	BTN_BG_1,
MyFirmReport.h	3	BTN_EXIT,
MyFirmReport.h	4	UNUSE_OBJ2,
MyFirmReport.h	5	SHOW_MONTH_1,
MyFirmReport.h	6	SHOW_MONTH_2,
MyFirmReport.h	7	SHOW_MONTH_3,
MyFirmReport.h	8	SHOW_MONTH_4,
MyFirmReport.h	9	SHOW_MONTH_5,
MyFirmReport.h	10	SHOW_MONTH_6,
MyFirmReport.h	11	SCBAR_REPORT,
MyFirmReport.h	12	UNUSE_OBJ10,
MyFirmReport.h	13	UNUSE_OBJ11,
MyFirmReport.h	14	UNUSE_OBJ12,
MyFirmReport.h	15	UNUSE_OBJ13,
MyFirmReport.h	16	UNUSE_OBJ14,
MyFirmReport.h	17	UNUSE_OBJ15,
MyFirmReport.h	18	UNUSE_OBJ16,
MyFirmReport.h	19	UNUSE_OBJ17,
MyFirmReport.h	20	UNUSE_OBJ18,
MyFirmReport.h	21	UNUSE_OBJ19,
MyFirmReport.h	22	UNUSE_OBJ20,
MyFirmReport.h	23	UNUSE_OBJ21,
MyFirmReport.h	24	UNUSE_OBJ22,
MyFirmReport.h	25	SHOW_ITEM_1,
MyFirmReport.h	26	SHOW_ITEM_2,
MyFirmReport.h	27	SHOW_ITEM_3,
MyFirmReport.h	28	SHOW_ITEM_4,
MyFirmReport.h	29	SHOW_ITEM_5,
MyFirmReport.h	30	SHOW_ITEM_6,
MyFirmReport.h	31	SHOW_ITEM_7,
MyFirmReport.h	32	SHOW_ITEM_8,
MyFirmReport.h	33	SHOW_ITEM_9,
MyFirmReport.h	34	SHOW_ITEM_10,
MyFirmReport.h	35	UNUSE_OBJ33,
MyFirmReport.h	36	UNUSE_OBJ34,
MyFirmReport.h	37	UNUSE_OBJ35,
MyFirmReport.h	38	UNUSE_OBJ36,
MyFirmReport.h	39	SHOW_QUANTITY_1_1,
MyFirmReport.h	40	SHOW_QUANTITY_2_1,
MyFirmReport.h	41	SHOW_QUANTITY_3_1,
MyFirmReport.h	42	SHOW_QUANTITY_4_1,
MyFirmReport.h	43	SHOW_QUANTITY_5_1,
MyFirmReport.h	44	SHOW_QUANTITY_6_1,
MyFirmReport.h	45	SHOW_QUANTITY_7_1,
MyFirmReport.h	46	SHOW_QUANTITY_8_1,
MyFirmReport.h	47	SHOW_QUANTITY_9_1,
MyFirmReport.h	48	SHOW_QUANTITY_10_1,
MyFirmReport.h	49	SHOW_PROFIT_1_1,
MyFirmReport.h	50	SHOW_PROFIT_2_1,
MyFirmReport.h	51	SHOW_PROFIT_3_1,
MyFirmReport.h	52	SHOW_PROFIT_4_1,
MyFirmReport.h	53	SHOW_PROFIT_5_1,
MyFirmReport.h	54	SHOW_PROFIT_6_1,
MyFirmReport.h	55	SHOW_PROFIT_7_1,
MyFirmReport.h	56	SHOW_PROFIT_8_1,
MyFirmReport.h	57	SHOW_PROFIT_9_1,
MyFirmReport.h	58	SHOW_PROFIT_10_1,
MyFirmReport.h	59	SHOW_QUANTITY_1_2,
MyFirmReport.h	60	SHOW_QUANTITY_2_2,
MyFirmReport.h	61	SHOW_QUANTITY_3_2,
MyFirmReport.h	62	SHOW_QUANTITY_4_2,
MyFirmReport.h	63	SHOW_QUANTITY_5_2,
MyFirmReport.h	64	SHOW_QUANTITY_6_2,
MyFirmReport.h	65	SHOW_QUANTITY_7_2,
MyFirmReport.h	66	SHOW_QUANTITY_8_2,
MyFirmReport.h	67	SHOW_QUANTITY_9_2,
MyFirmReport.h	68	SHOW_QUANTITY_10_2,
MyFirmReport.h	69	SHOW_PROFIT_1_2,
MyFirmReport.h	70	SHOW_PROFIT_2_2,
MyFirmReport.h	71	SHOW_PROFIT_3_2,
MyFirmReport.h	72	SHOW_PROFIT_4_2,
MyFirmReport.h	73	SHOW_PROFIT_5_2,
MyFirmReport.h	74	SHOW_PROFIT_6_2,
MyFirmReport.h	75	SHOW_PROFIT_7_2,
MyFirmReport.h	76	SHOW_PROFIT_8_2,
MyFirmReport.h	77	SHOW_PROFIT_9_2,
MyFirmReport.h	78	SHOW_PROFIT_10_2,
MyFirmReport.h	79	SHOW_QUANTITY_1_3,
MyFirmReport.h	80	SHOW_QUANTITY_2_3,
MyFirmReport.h	81	SHOW_QUANTITY_3_3,
MyFirmReport.h	82	SHOW_QUANTITY_4_3,
MyFirmReport.h	83	SHOW_QUANTITY_5_3,
MyFirmReport.h	84	SHOW_QUANTITY_6_3,
MyFirmReport.h	85	SHOW_QUANTITY_7_3,
MyFirmReport.h	86	SHOW_QUANTITY_8_3,
MyFirmReport.h	87	SHOW_QUANTITY_9_3,
MyFirmReport.h	88	SHOW_QUANTITY_10_3,
MyFirmReport.h	89	SHOW_PROFIT_1_3,
MyFirmReport.h	90	SHOW_PROFIT_2_3,
MyFirmReport.h	91	SHOW_PROFIT_3_3,
MyFirmReport.h	92	SHOW_PROFIT_4_3,
MyFirmReport.h	93	SHOW_PROFIT_5_3,
MyFirmReport.h	94	SHOW_PROFIT_6_3,
MyFirmReport.h	95	SHOW_PROFIT_7_3,
MyFirmReport.h	96	SHOW_PROFIT_8_3,
MyFirmReport.h	97	SHOW_PROFIT_9_3,
MyFirmReport.h	98	SHOW_PROFIT_10_3,
MyFirmReport.h	99	SHOW_QUANTITY_1_4,
MyFirmReport.h	100	SHOW_QUANTITY_2_4,
MyFirmReport.h	101	SHOW_QUANTITY_3_4,
MyFirmReport.h	102	SHOW_QUANTITY_4_4,
MyFirmReport.h	103	SHOW_QUANTITY_5_4,
MyFirmReport.h	104	SHOW_QUANTITY_6_4,
MyFirmReport.h	105	SHOW_QUANTITY_7_4,
MyFirmReport.h	106	SHOW_QUANTITY_8_4,
MyFirmReport.h	107	SHOW_QUANTITY_9_4,
MyFirmReport.h	108	SHOW_QUANTITY_10_4,
MyFirmReport.h	109	SHOW_PROFIT_1_4,
MyFirmReport.h	110	SHOW_PROFIT_2_4,
MyFirmReport.h	111	SHOW_PROFIT_3_4,
MyFirmReport.h	112	SHOW_PROFIT_4_4,
MyFirmReport.h	113	SHOW_PROFIT_5_4,
MyFirmReport.h	114	SHOW_PROFIT_6_4,
MyFirmReport.h	115	SHOW_PROFIT_7_4,
MyFirmReport.h	116	SHOW_PROFIT_8_4,
MyFirmReport.h	117	SHOW_PROFIT_9_4,
MyFirmReport.h	118	SHOW_PROFIT_10_4,
MyFirmReport.h	119	SHOW_QUANTITY_1_5,
MyFirmReport.h	120	SHOW_QUANTITY_2_5,
MyFirmReport.h	121	SHOW_QUANTITY_3_5,
MyFirmReport.h	122	SHOW_QUANTITY_4_5,
MyFirmReport.h	123	SHOW_QUANTITY_5_5,
MyFirmReport.h	124	SHOW_QUANTITY_6_5,
MyFirmReport.h	125	SHOW_QUANTITY_7_5,
MyFirmReport.h	126	SHOW_QUANTITY_8_5,
MyFirmReport.h	127	SHOW_QUANTITY_9_5,
MyFirmReport.h	128	SHOW_QUANTITY_10_5,
MyFirmReport.h	129	SHOW_PROFIT_1_5,
MyFirmReport.h	130	SHOW_PROFIT_2_5,
MyFirmReport.h	131	SHOW_PROFIT_3_5,
MyFirmReport.h	132	SHOW_PROFIT_4_5,
MyFirmReport.h	133	SHOW_PROFIT_5_5,
MyFirmReport.h	134	SHOW_PROFIT_6_5,
MyFirmReport.h	135	SHOW_PROFIT_7_5,
MyFirmReport.h	136	SHOW_PROFIT_8_5,
MyFirmReport.h	137	SHOW_PROFIT_9_5,
MyFirmReport.h	138	SHOW_PROFIT_10_5,
MyFirmReport.h	139	SHOW_QUANTITY_1_6,
MyFirmReport.h	140	SHOW_QUANTITY_2_6,
MyFirmReport.h	141	SHOW_QUANTITY_3_6,
MyFirmReport.h	142	SHOW_QUANTITY_4_6,
MyFirmReport.h	143	SHOW_QUANTITY_5_6,
MyFirmReport.h	144	SHOW_QUANTITY_6_6,
MyFirmReport.h	145	SHOW_QUANTITY_7_6,
MyFirmReport.h	146	SHOW_QUANTITY_8_6,
MyFirmReport.h	147	SHOW_QUANTITY_9_6,
MyFirmReport.h	148	SHOW_QUANTITY_10_6,
MyFirmReport.h	149	SHOW_PROFIT_1_6,
MyFirmReport.h	150	SHOW_PROFIT_2_6,
MyFirmReport.h	151	SHOW_PROFIT_3_6,
MyFirmReport.h	152	SHOW_PROFIT_4_6,
MyFirmReport.h	153	SHOW_PROFIT_5_6,
MyFirmReport.h	154	SHOW_PROFIT_6_6,
MyFirmReport.h	155	SHOW_PROFIT_7_6,
MyFirmReport.h	156	SHOW_PROFIT_8_6,
MyFirmReport.h	157	SHOW_PROFIT_9_6,
MyFirmReport.h	158	SHOW_PROFIT_10_6,
MyFirmReport.h	159	MONTH_TXT_1,
MyFirmReport.h	160	MONTH_TXT_2,
MyFirmReport.h	161	MONTH_TXT_3,
MyFirmReport.h	162	MONTH_TXT_4,
MyFirmReport.h	163	MONTH_TXT_5,
MyFirmReport.h	164	MONTH_TXT_6,
MyFirmReport.h	165	MONTH_TXT_7,
MyFirmReport.h	166	MONTH_TXT_8,
MyFirmReport.h	167	MONTH_TXT_9,
MyFirmReport.h	168	MONTH_TXT_10,
MyFirmReport.h	169	MONTH_TXT_11,
MyFirmReport.h	170	MONTH_TXT_12
MyFirmReport.h	171	};
MyFirmSell.h	1	enum {
MyFirmSell.h	2	BTN_YES,
MyFirmSell.h	3	BTN_NO,
MyFirmSell.h	4	UNUSE_OBJ3,
MyFirmSell.h	5	UNUSE_OBJ4,
MyFirmSell.h	6	UNUSE_OBJ5,
MyFirmSell.h	7	UNUSE_OBJ6,
MyFirmSell.h	8	SHOW_PRICE
MyFirmSell.h	9	};
MyFirmStop.h	1	enum {
MyFirmStop.h	2	BTN_YES,
MyFirmStop.h	3	BTN_NO,
MyFirmStop.h	4	SHOW_STOP_OR_RESTART
MyFirmStop.h	5	};
NPCselect.h	1	enum {
NPCselect.h	2	LIST_NPC,
NPCselect.h	3	UNUSE_OBJ2,
NPCselect.h	4	BTN_CLOSE
NPCselect.h	5	};
NoMoney.h	1	enum {
NoMoney.h	2	UNUSE_OBJ1,
NoMoney.h	3	BTN_OK
NoMoney.h	4	};
Option.h	1	enum {
Option.h	2	BTN_EXIT,
Option.h	3	UNUSE_OBJ2,
Option.h	4	BTN_MUSIC,
Option.h	5	BTN_SOUND,
Option.h	6	BTN_SPEED,
Option.h	7	EGB_MUSIC,
Option.h	8	EGB_SOUND,
Option.h	9	EGB_SPEED
Option.h	10	};
ProductBook.h	1	enum {
ProductBook.h	2	BTN_EXIT,
ProductBook.h	3	BTN_TYPE_ARROW,
ProductBook.h	4	UNUSE_OBJ3,
ProductBook.h	5	SHOW_OUT_NAME,
ProductBook.h	6	UNUSE_OBJ44,
ProductBook.h	7	SHOW_OUT_QUANTITY,
ProductBook.h	8	LIST_ITEM_1,
ProductBook.h	9	SHOW_CATEGORY,
ProductBook.h	10	BTN_ARROW_1,
ProductBook.h	11	SCBAR_ITEM,
ProductBook.h	12	BTN_OUT_PIC,
ProductBook.h	13	BTN_OUT_CHANGE,
ProductBook.h	14	BTN_MOVING,
ProductBook.h	15	UNUSE_OBJ5,
ProductBook.h	16	UNUSE_OBJ4,
ProductBook.h	17	SHOW_CTL_MACHINE,
ProductBook.h	18	UNUSE_OBJ7,
ProductBook.h	19	UNUSE_OBJ10,
ProductBook.h	20	SHOW_CTL_SOURCE,
ProductBook.h	21	UNUSE_OBJ8,
ProductBook.h	22	WS_BOARD,
ProductBook.h	23	WS_GOOD,
ProductBook.h	24	WS_FAST,
ProductBook.h	25	MACHINE_GROUP_NAME,
ProductBook.h	26	UNUSE_OBJ25,
ProductBook.h	27	UNUSE_OBJ26,
ProductBook.h	28	BUY_MACHINE_GROUP,
ProductBook.h	29	MG_NAME_00,
ProductBook.h	30	MG_NAME_01,
ProductBook.h	31	MG_NAME_02,
ProductBook.h	32	MG_NAME_03,
ProductBook.h	33	MG_NAME_04,
ProductBook.h	34	MG_NAME_05,
ProductBook.h	35	MG_NAME_06,
ProductBook.h	36	PRODPROC_01,
ProductBook.h	37	PRODPROC_02,
ProductBook.h	38	PRODPROC_03,
ProductBook.h	39	PRODPROC_04,
ProductBook.h	40	CAN_RETAIL,
ProductBook.h	41	WS_TXT1,
ProductBook.h	42	WS_TXT2,
ProductBook.h	43	WS_TXT3,
ProductBook.h	44	WS_TXT4,
ProductBook.h	45	WS_TXT5
ProductBook.h	46	};
ProductBook_Board.h	1	enum {
ProductBook_Board.h	2	SHOW_IN_NAME,
ProductBook_Board.h	3	UNUSE_OBJ2,
ProductBook_Board.h	4	UNUSE_OBJ13,
ProductBook_Board.h	5	UNUSE_OBJ14,
ProductBook_Board.h	6	SHOW_IN_QUANTIAY,
ProductBook_Board.h	7	SHOW_IN_QUALITY,
ProductBook_Board.h	8	BTN_IN_MORE,
ProductBook_Board.h	9	BTN_IN_CHANGE,
ProductBook_Board.h	10	BTN_IN_PIC,
ProductBook_Board.h	11	CAN_RETAIL1
ProductBook_Board.h	12	};
ProductBook_List.h	1	enum {
ProductBook_List.h	2	LIST_PRODUCTBOOK
ProductBook_List.h	3	};
QuitConfirm.h	1	enum {
QuitConfirm.h	2	BTN_YES,
QuitConfirm.h	3	BTN_NO,
QuitConfirm.h	4	UNUSE_OBJ3
QuitConfirm.h	5	};
RetailMachine.h	1	enum {
RetailMachine.h	2	BTN_ARROW,
RetailMachine.h	3	BTN_MINUS,
RetailMachine.h	4	BTN_ADD,
RetailMachine.h	5	BTN_STOP,
RetailMachine.h	6	BTN_SELL,
RetailMachine.h	7	UNUSE_OBJ8,
RetailMachine.h	8	UNUSE_OBJ9,
RetailMachine.h	9	SHOW_ITEM,
RetailMachine.h	10	SHOW_PRICE,
RetailMachine.h	11	BTN_TITLEBAR,
RetailMachine.h	12	SHOW_MACHINE_NAME,
RetailMachine.h	13	SHOW_MACHINE_YEAR,
RetailMachine.h	14	BTN_RESTART,
RetailMachine.h	15	UNUSE_OBJ14,
RetailMachine.h	16	SHOW_ITEM_NEXT,
RetailMachine.h	17	SHOW_BOX_LEFT,
RetailMachine.h	18	UNUSE_OBJ17,
RetailMachine.h	19	UNUSE_OBJ18,
RetailMachine.h	20	SHOW_STOCK,
RetailMachine.h	21	SHOW_AVGSELL,
RetailMachine.h	22	BTN_BOARD,
RetailMachine.h	23	SCBAR_RETAIL,
RetailMachine.h	24	LIST_PRODUCT_1,
RetailMachine.h	25	LIST_PRODUCT_2,
RetailMachine.h	26	UNIT_PIECE,
RetailMachine.h	27	UNIT_G,
RetailMachine.h	28	UNIT_KG,
RetailMachine.h	29	SHOW_COST,
RetailMachine.h	30	UNUSE_OBJ29,
RetailMachine.h	31	UNUSE_OBJ30,
RetailMachine.h	32	SHOW_BOX_AMOUNT,
RetailMachine.h	33	UNUSE_OBJ32
RetailMachine.h	34	};
SalaryAdjust.h	1	enum {
SalaryAdjust.h	2	SHOW_MANAGER,
SalaryAdjust.h	3	SHOW_MANAGER_NEED,
SalaryAdjust.h	4	BTN_MANAGER_ADD,
SalaryAdjust.h	5	SHOW_MANAGER_SALARY,
SalaryAdjust.h	6	BTN_MANAGER_MINUS,
SalaryAdjust.h	7	SHOW_WORKER,
SalaryAdjust.h	8	SHOW_WORKER_NEED,
SalaryAdjust.h	9	BTN_WORKER_MINUS,
SalaryAdjust.h	10	SHOW_WORKER_SALARY,
SalaryAdjust.h	11	BTN_WORKER_ADD,
SalaryAdjust.h	12	EGBAR_MANAGER,
SalaryAdjust.h	13	EGBAR_WORKER,
SalaryAdjust.h	14	UNUSE_OBJ13,
SalaryAdjust.h	15	UNUSE_OBJ14,
SalaryAdjust.h	16	EGBAR_SALES,
SalaryAdjust.h	17	UNUSE_OBJ16,
SalaryAdjust.h	18	SHOW_SALES,
SalaryAdjust.h	19	SHOW_SALES_NEED,
SalaryAdjust.h	20	BTN_SALES_MINUS,
SalaryAdjust.h	21	SHOW_SALES_SALARY,
SalaryAdjust.h	22	BTN_SALES_ADD
SalaryAdjust.h	23	};
SaleMachine-1.h	1	enum {
SaleMachine-1.h	2	BTN_YES,
SaleMachine-1.h	3	BTN_NO,
SaleMachine-1.h	4	UNUSE_OBJ31
SaleMachine-1.h	5	};
SaleMachine.h	1	enum {
SaleMachine.h	2	BTN_BG_1,
SaleMachine.h	3	BTN_BG_2,
SaleMachine.h	4	BTN_BG_3,
SaleMachine.h	5	BTN_EXIT,
SaleMachine.h	6	BTN_TYPE_1,
SaleMachine.h	7	BTN_TYPE_2,
SaleMachine.h	8	BTN_TYPE_3,
SaleMachine.h	9	BTN_TYPE_4,
SaleMachine.h	10	BTN_TYPE_5,
SaleMachine.h	11	BTN_TYPE_6,
SaleMachine.h	12	BTN_TYPE_7,
SaleMachine.h	13	BTN_PIC_1,
SaleMachine.h	14	BTN_PIC_2,
SaleMachine.h	15	BTN_PIC_3,
SaleMachine.h	16	BTN_PIC_4,
SaleMachine.h	17	BTN_PIC_5,
SaleMachine.h	18	SCBAR_SALEMACHINE,
SaleMachine.h	19	SHOW_NAME_1,
SaleMachine.h	20	SHOW_NAME_2,
SaleMachine.h	21	SHOW_NAME_3,
SaleMachine.h	22	SHOW_NAME_4,
SaleMachine.h	23	SHOW_NAME_5,
SaleMachine.h	24	LIST_PRODUCT
SaleMachine.h	25	};
SaleMachineInfo.h	1	enum {
SaleMachineInfo.h	2	UNUSE_OBJ1,
SaleMachineInfo.h	3	UNUSE_OBJ2,
SaleMachineInfo.h	4	UNUSE_OBJ3,
SaleMachineInfo.h	5	UNUSE_OBJ4,
SaleMachineInfo.h	6	UNUSE_OBJ5,
SaleMachineInfo.h	7	UNUSE_OBJ6,
SaleMachineInfo.h	8	BTN_ARROW,
SaleMachineInfo.h	9	SHOW_QUALITY,
SaleMachineInfo.h	10	SHOW_PRICE,
SaleMachineInfo.h	11	SHOW_YEAR,
SaleMachineInfo.h	12	SHOW_WORKER_NUM,
SaleMachineInfo.h	13	SHOW_IN_ITEM_1,
SaleMachineInfo.h	14	SHOW_IN_ITEM_2,
SaleMachineInfo.h	15	SHOW_IN_ITEM_3,
SaleMachineInfo.h	16	SHOW_IN_ITEM_4,
SaleMachineInfo.h	17	SHOW_IN_QUANTITY_1,
SaleMachineInfo.h	18	SHOW_IN_QUANTITY_2,
SaleMachineInfo.h	19	SHOW_IN_QUANTITY_3,
SaleMachineInfo.h	20	SHOW_IN_QUANTITY_4,
SaleMachineInfo.h	21	SHOW_OUT_ITEM,
SaleMachineInfo.h	22	SHOW_OUT_QUANTITY,
SaleMachineInfo.h	23	UNUSE_OBJ24,
SaleMachineInfo.h	24	SHOW_MANAGER_NUM,
SaleMachineInfo.h	25	BTN_TITLEBAR,
