字符串	类型	编码	出现次数	来源
774	数值	big5	2	data/Machine_type.csv@L297 | data/Machine_type.csv@L335
775	数值	big5	2	data/Machine_type.csv@L297 | data/Machine_type.csv@L336
776	数值	big5	2	data/Machine_type.csv@L298 | data/Machine_type.csv@L342
777	数值	big5	2	data/Machine_type.csv@L298 | data/Machine_type.csv@L343
778	数值	big5	2	data/Machine_type.csv@L299 | data/Machine_type.csv@L344
779	数值	big5	2	data/Machine_type.csv@L299 | data/Machine_type.csv@L345
780	数值	big5	2	data/Machine_type.csv@L300 | data/Machine_type.csv@L346
781	数值	big5	2	data/Machine_type.csv@L300 | data/Machine_type.csv@L347
782	数值	big5	2	data/Machine_type.csv@L301 | data/Machine_type.csv@L348
783	数值	big5	2	data/Machine_type.csv@L301 | data/Machine_type.csv@L349
784	数值	big5	2	data/Machine_type.csv@L307 | data/Machine_type.csv@L350
785	数值	big5	2	data/Machine_type.csv@L307 | data/Machine_type.csv@L351
786	数值	big5	2	data/Machine_type.csv@L308 | data/Machine_type.csv@L355
787	数值	big5	2	data/Machine_type.csv@L308 | data/Machine_type.csv@L356
788	数值	big5	2	data/Machine_type.csv@L309 | data/Machine_type.csv@L357
789	数值	big5	2	data/Machine_type.csv@L309 | data/Machine_type.csv@L361
790	数值	big5	2	data/Machine_type.csv@L310 | data/Machine_type.csv@L362
791	数值	big5	2	data/Machine_type.csv@L310 | data/Machine_type.csv@L363
793	数值	big5	2	data/Machine_type.csv@L311 | data/Machine_type.csv@L365
794	数值	big5	2	data/Machine_type.csv@L317 | data/Machine_type.csv@L366
7`K\t	ASCII	ascii	2	stage/stage08.stg@seg1832+0xB | stage/stage08.stg@seg1834+0xB
8!8+8A8K8a8k8	ASCII	ascii	2	CEO.exe@RVA 502C3F | CEO.exe@RVA 502E49
809	数值	big5	2	data/Machine_type.csv@L324 | data/product1.csv@L94
82000	数值	big5	2	data/Machine_type.csv@L158 | data/Machine_type.csv@L84
820000	数值	big5	2	data/Machine_type.csv@L158 | data/Machine_type.csv@L84
83000	数值	big5	2	data/Machine_type.csv@L210 | data/Machine_type.csv@L323
830000	数值	big5	2	data/Machine_type.csv@L210 | data/Machine_type.csv@L323
85000	数值	big5	2	data/Machine_type.csv@L339 | data/Machine_type.csv@L52
850000	数值	big5	2	data/Machine_type.csv@L339 | data/Machine_type.csv@L52
86000	数值	big5	2	data/Machine_type.csv@L331 | data/Machine_type.csv@L90
860000	数值	big5	2	data/Machine_type.csv@L331 | data/Machine_type.csv@L90
89000	数值	big5	2	data/Machine_type.csv@L232 | data/Machine_type.csv@L345
890000	数值	big5	2	data/Machine_type.csv@L232 | data/Machine_type.csv@L345
8`Q\t	ASCII	ascii	2	stage/stage13.stg@seg521+0xB | stage/stage13.stg@seg527+0xB
9000	数值	big5	2	data/Machine_type.csv@L32 | data/Machine_type.csv@L34
93000	数值	big5	2	data/Machine_type.csv@L347 | data/Machine_type.csv@L55
930000	数值	big5	2	data/Machine_type.csv@L347 | data/Machine_type.csv@L55
95 ^	ASCII	ascii	2	CEO.exe@RVA 3FB7E | CEO.exe@RVA 3FC03
95 b	ASCII	ascii	2	CEO.exe@RVA 40676 | CEO.exe@RVA 407F4
95000	数值	big5	2	data/Machine_type.csv@L163 | data/Machine_type.csv@L215
950000	数值	big5	2	data/Machine_type.csv@L163 | data/Machine_type.csv@L215
958-L	ASCII	ascii	2	CEO.exe@RVA 1B7BC | CEO.exe@RVA C73A
95Xz	ASCII	ascii	2	CEO.exe@RVA 61D34 | CEO.exe@RVA 61E5D
95d8	ASCII	ascii	2	CEO.exe@RVA 97302 | CEO.exe@RVA 97315
95p`	ASCII	ascii	2	CEO.exe@RVA 60B3F | CEO.exe@RVA 60C3F
95t`	ASCII	ascii	2	CEO.exe@RVA 60BAA | CEO.exe@RVA 60C7B
960000	数值	big5	2	data/Machine_type.csv@L181 | data/Machine_type.csv@L81
99000	数值	big5	2	data/Machine_type.csv@L336 | data/Machine_type.csv@L95
990000	数值	big5	2	data/Machine_type.csv@L336 | data/Machine_type.csv@L95
9^8t	ASCII	ascii	2	CEO.exe@RVA 806A3 | CEO.exe@RVA 8071C
9csm	ASCII	ascii	2	CEO.exe@RVA 8D855 | CEO.exe@RVA 90E93
:rh\t	ASCII	ascii	2	stage/stage11.stg@seg2406+0xB | stage/stage11.stg@seg2409+0xB
;V,u	ASCII	ascii	2	CEO.exe@RVA 73D92 | CEO.exe@RVA 73E4A
;x }e	ASCII	ascii	2	CEO.exe@RVA 66D55 | CEO.exe@RVA 66F65
<$tPf	ASCII	ascii	2	CEO.exe@RVA 8A6AB | CEO.exe@RVA 8A7DB
<RWh	ASCII	ascii	2	CEO.exe@RVA 5D24A | CEO.exe@RVA 5D61A
=MOC	ASCII	ascii	2	CEO.exe@RVA 8D6E4 | CEO.exe@RVA 8DDDB
=d J	ASCII	ascii	2	CEO.exe@RVA 93759 | CEO.exe@RVA 96DB5
=m=@	ASCII	ascii	2	CEO.exe@RVA AC474 | CEO.exe@RVA ACF74
=t J	ASCII	ascii	2	CEO.exe@RVA 5F54E | CEO.exe@RVA BA80
>F;u	ASCII	ascii	2	CEO.exe@RVA 6A3DF | CEO.exe@RVA 6F41C
>Xzv	ASCII	ascii	2	CEO.exe@RVA AC5F7 | CEO.exe@RVA ACE37
?!?+?A?K?a?k?	ASCII	ascii	2	CEO.exe@RVA 502D1F | CEO.exe@RVA 502F29
?"u0	ASCII	ascii	2	CEO.exe@RVA 6457B | CEO.exe@RVA 645C5
?P),	ASCII	ascii	2	CEO.exe@RVA AC10F | CEO.exe@RVA AD2EF
?P/Y	ASCII	ascii	2	CEO.exe@RVA AADCF | CEO.exe@RVA AB66F
?X1U	ASCII	ascii	2	CEO.exe@RVA AC07F | CEO.exe@RVA AD3BF
@PVS	ASCII	ascii	2	CEO.exe@RVA 8D00C | CEO.exe@RVA 8D030
@f9Q	ASCII	ascii	2	CEO.exe@RVA 31044 | CEO.exe@RVA 3104B
@uoV	ASCII	ascii	2	CEO.exe@RVA 8BC06 | CEO.exe@RVA 9B327
@uoW	ASCII	ascii	2	CEO.exe@RVA 8AB3D | CEO.exe@RVA 8AC49
ABCDEFGHIJKLMNOPQRSTUVWXYZ	ASCII	ascii	2	CEO.exe@RVA B8A0E | CEO.exe@RVA B8C19
AGENT,	ASCII	ascii	2	Face/ceo_regist.h@L8 | Face/freeplay.h@L170
AGENT_COLOR,	ASCII	ascii	2	Face/ceo_regist.h@L7 | Face/freeplay.h@L41
ALL_BUT,	ASCII	ascii	2	Face/prod_info.h@L23 | Face/score_info.h@L144
ALRV	ASCII	ascii	2	CEO.exe@RVA 6C236 | CEO.exe@RVA 6C84E
ASSETS_DEBT,	ASCII	ascii	2	Face/profit_info.h@L23 | Face/score_info.h@L23
April	ASCII	ascii/utf16le	2	CEO.exe@RVA AA934 | CEO.exe@RVA AAAFC
August	ASCII	ascii/utf16le	2	CEO.exe@RVA AA90C | CEO.exe@RVA AAAE4
B"QP	ASCII	ascii	2	CEO.exe@RVA 10453 | CEO.exe@RVA 10536
B@;U	ASCII	ascii	2	CEO.exe@RVA D0BF | CEO.exe@RVA D120
BACK_PIC,	ASCII	ascii	2	Face/load_prograss.h@L2 | Face/save_prograss.h@L2
BOARD_COLOR_SEL,	ASCII	ascii	2	Face/face_machine.h@L25 | Face/face_put_machine.h@L16
BOSSHEAD,	ASCII	ascii	2	Face/ceo_info.h@L9 | Face/taskplay.h@L37
BOSSHEAD_NAME,	ASCII	ascii	2	Face/ceo_info.h@L10 | Face/taskplay.h@L38
BTN_1,	ASCII	ascii	2	Face/Load.h@L6 | Face/save.h@L4
BTN_10,	ASCII	ascii	2	Face/Load.h@L15 | Face/save.h@L13
BTN_2,	ASCII	ascii	2	Face/Load.h@L7 | Face/save.h@L5
BTN_3,	ASCII	ascii	2	Face/Load.h@L8 | Face/save.h@L6
BTN_4,	ASCII	ascii	2	Face/Load.h@L9 | Face/save.h@L7
BTN_5,	ASCII	ascii	2	Face/Load.h@L10 | Face/save.h@L8
BTN_6,	ASCII	ascii	2	Face/Load.h@L11 | Face/save.h@L9
BTN_7,	ASCII	ascii	2	Face/Load.h@L12 | Face/save.h@L10
BTN_8,	ASCII	ascii	2	Face/Load.h@L13 | Face/save.h@L11
BTN_9,	ASCII	ascii	2	Face/Load.h@L14 | Face/save.h@L12
BTN_BANK,	ASCII	ascii	2	Face/main.h@L12 | Face/main1.h@L32
BTN_BG_4,	ASCII	ascii	2	Face/FirmLoadArea-1.h@L5 | Face/main.h@L5
BTN_BG_5,	ASCII	ascii	2	Face/FirmLoadArea-1.h@L6 | Face/main.h@L6
BTN_BG_6,	ASCII	ascii	2	Face/FirmLoadArea-1.h@L7 | Face/main.h@L7
BTN_BG_7,	ASCII	ascii	2	Face/FirmLoadArea-1.h@L8 | Face/main.h@L8
BTN_BOARD	ASCII	ascii	2	Face/factinf_retail.h@L5 | Face/factinf_sale.h@L5
BTN_BUILD_FARM,	ASCII	ascii	2	Face/ToBuildFirm.h@L6 | Face/buildbtn.h@L5
BTN_BUILD_MINE,	ASCII	ascii	2	Face/ToBuildFirm.h@L8 | Face/buildbtn.h@L7
BTN_BUY,	ASCII	ascii	2	Face/face_btn1.h@L4 | Face/inoutinfo.h@L47
BTN_CLOSE,	ASCII	ascii	2	Face/extface_putland.h@L17 | Face/sreport.h@L4
BTN_GO,	ASCII	ascii	2	Face/Load.h@L5 | Face/save.h@L3
BTN_HELP,	ASCII	ascii	2	Face/main.h@L14 | Face/main1.h@L31
BTN_LOAD,	ASCII	ascii	2	Face/Load-1.h@L4 | Face/new_option.h@L8
BTN_MINE_PIC	ASCII	ascii	2	Face/FirmMine.h@L8 | Face/factinf_mine.h@L18
BTN_MINUS,	ASCII	ascii	2	Face/RetailMachine.h@L3 | Face/face_retailmachine.h@L26
BTN_MONTH,	ASCII	ascii	2	Face/fact_profit_info.h@L34 | Face/factinf.h@L13
BTN_OPTION,	ASCII	ascii	2	Face/main.h@L13 | Face/main1.h@L33
BTN_PEOPLE,	ASCII	ascii	2	Face/SmallMapBtn.h@L3 | Face/face_smallmap.h@L4
BTN_PIC_1,	ASCII	ascii	2	Face/SaleMachine.h@L13 | Face/face_buymachine.h@L17
BTN_PIC_2,	ASCII	ascii	2	Face/SaleMachine.h@L14 | Face/face_buymachine.h@L18
BTN_PIC_3,	ASCII	ascii	2	Face/SaleMachine.h@L15 | Face/face_buymachine.h@L19
BTN_PIC_4,	ASCII	ascii	2	Face/SaleMachine.h@L16 | Face/face_buymachine.h@L20
BTN_PIC_5,	ASCII	ascii	2	Face/SaleMachine.h@L17 | Face/face_buymachine.h@L21
BTN_PRODINFO,	ASCII	ascii	2	Face/main.h@L9 | Face/main1.h@L29
BTN_PRODUCT,	ASCII	ascii	2	Face/MyFirmButton.h@L3 | Face/main.h@L11
BTN_RENAME,	ASCII	ascii	2	Face/MyFirmManage-1.h@L2 | Face/MyFirmManage.h@L2
BTN_SAVE,	ASCII	ascii	2	Face/Load-1.h@L3 | Face/new_option.h@L7
BTN_SEASON,	ASCII	ascii	2	Face/fact_profit_info.h@L35 | Face/factinf.h@L12
BTN_SPEED,	ASCII	ascii	2	Face/Option.h@L6 | Face/new_option.h@L6
BTN_TITLEBAR1,	ASCII	ascii	2	Face/ToBuildFirm-Mine.h@L16 | Face/forsale-mine.h@L18
BTN_TYPE_1,	ASCII	ascii	2	Face/SaleMachine.h@L6 | Face/face_buymachine.h@L10
BTN_TYPE_2,	ASCII	ascii	2	Face/SaleMachine.h@L7 | Face/face_buymachine.h@L11
BTN_TYPE_3,	ASCII	ascii	2	Face/SaleMachine.h@L8 | Face/face_buymachine.h@L12
BTN_TYPE_4,	ASCII	ascii	2	Face/SaleMachine.h@L9 | Face/face_buymachine.h@L13
BTN_TYPE_5,	ASCII	ascii	2	Face/SaleMachine.h@L10 | Face/face_buymachine.h@L14
BTN_TYPE_6,	ASCII	ascii	2	Face/SaleMachine.h@L11 | Face/face_buymachine.h@L15
BTN_TYPE_7,	ASCII	ascii	2	Face/SaleMachine.h@L12 | Face/face_buymachine.h@L16
BTN_YEAR,	ASCII	ascii	2	Face/fact_profit_info.h@L36 | Face/factinf.h@L10
BULK_PRICE,	ASCII	ascii	2	Face/factinf_board.h@L28 | Face/factinf_pro.h@L54
BUS_NAME,	ASCII	ascii	2	Face/buyfact.h@L14 | Face/ceo_info.h@L8
C6	ASCII	big5	2	data/formula.csv@L144 | data/formula.csv@L80
C6=	ASCII	big5	2	data/formula.csv@L15 | data/formula.csv@L55
C7=	ASCII	big5	2	data/formula.csv@L16 | data/formula.csv@L56
C8=	ASCII	big5	2	data/formula.csv@L17 | data/formula.csv@L57
C9=	ASCII	big5	2	data/formula.csv@L18 | data/formula.csv@L58
CEO STEAM	ASCII	ascii	2	CEO.exe@RVA A3316 | CEO.exe@RVA A3320
CLR_1,	ASCII	ascii	2	Face/colorlist.h@L2 | Face/factinf_clrsel.h@L3
CLR_2,	ASCII	ascii	2	Face/colorlist.h@L3 | Face/factinf_clrsel.h@L4
CLR_3,	ASCII	ascii	2	Face/colorlist.h@L4 | Face/factinf_clrsel.h@L5
CLR_4,	ASCII	ascii	2	Face/colorlist.h@L5 | Face/factinf_clrsel.h@L6
CLR_5,	ASCII	ascii	2	Face/colorlist.h@L6 | Face/factinf_clrsel.h@L7
CLR_6,	ASCII	ascii	2	Face/colorlist.h@L7 | Face/factinf_clrsel.h@L8
CLR_7	ASCII	ascii	2	Face/colorlist.h@L8 | Face/factinf_clrsel.h@L9
COLOR,	ASCII	ascii	2	Face/buyfact.h@L13 | Face/freeplay.h@L40
COLOR6_NAME	ASCII	ascii	2	Face/lose_face.h@L27 | Face/win_face.h@L55
COMMING_GOODS,	ASCII	ascii	2	Face/FirmBoard.h@L23 | Face/factinf_board.h@L38
COMPETITION,	ASCII	ascii	2	Face/freeplay.h@L89 | Face/taskplay.h@L47
COR_NAME,	ASCII	ascii	2	Face/profit_info.h@L25 | Face/score_info.h@L25
DAMAGE,	ASCII	ascii	2	Face/FirmMachine.h@L2 | Face/face_machine.h@L54
DOaR	ASCII	ascii	2	stage/stage05.stg@seg10+0x12 | stage/stage05.stg@seg11+0x12
December	ASCII	ascii/utf16le	2	CEO.exe@RVA AA8C0 | CEO.exe@RVA AAAB8
EGB_IN_1,	ASCII	ascii	2	Face/FirmMachine.h@L24 | Face/face_machine.h@L40
EGB_IN_2,	ASCII	ascii	2	Face/FirmMachine.h@L25 | Face/face_machine.h@L41
EGB_IN_3,	ASCII	ascii	2	Face/FirmMachine.h@L26 | Face/face_machine.h@L42
EGB_IN_4,	ASCII	ascii	2	Face/FirmMachine.h@L27 | Face/face_machine.h@L43
EGB_OUT,	ASCII	ascii	2	Face/FirmMachine.h@L32 | Face/face_machine.h@L23
FAME_HALL,	ASCII	ascii	2	Face/MainMenu.h@L4 | Face/menu1.h@L5
FGIu	ASCII	ascii	2	CEO.exe@RVA 8C7CA | CEO.exe@RVA 8C7EB
FLOC_TITLE,	ASCII	ascii	2	Face/prod_info.h@L147 | Face/score_info.h@L143
FREE_MODEL,	ASCII	ascii	2	Face/famhall1.h@L37 | Face/famhall2.h@L37
February	ASCII	ascii/utf16le	2	CEO.exe@RVA AA94C | CEO.exe@RVA AAB0C
Fh;F	ASCII	ascii	2	CEO.exe@RVA 75129 | CEO.exe@RVA 752D9
Friday	ASCII	ascii/utf16le	2	CEO.exe@RVA AA9E4 | CEO.exe@RVA AAB5C
Gf9X	ASCII	ascii	2	CEO.exe@RVA 1EE94 | CEO.exe@RVA 1EE9B
HCl\t	ASCII	ascii	2	stage/stage14.stg@seg1558+0xB | stage/stage14.stg@seg1560+0xB
HEAD_PIC,	ASCII	ascii	2	Face/buyfact.h@L15 | Face/ceo_info.h@L11
HH:mm:ss	ASCII	ascii/utf16le	2	CEO.exe@RVA AA860 | CEO.exe@RVA AAA84
IC類	中文	big5	2	data/AI_style.csv@L1 | data/Machine_group.csv@L11
January	ASCII	ascii/utf16le	2	CEO.exe@RVA AA960 | CEO.exe@RVA AAB18
July	ASCII	ascii/utf16le	2	CEO.exe@RVA AA91C | CEO.exe@RVA AAAEC
June	ASCII	ascii/utf16le	2	CEO.exe@RVA AA928 | CEO.exe@RVA AAAF4
KUNKA_MODE,	ASCII	ascii	2	Face/MainMenu.h@L2 | Face/menu1.h@L2
Kr~\t	ASCII	ascii	2	stage/stage11.stg@seg3568+0xB | stage/stage11.stg@seg3572+0xB
LC[+	ASCII	ascii	2	stage/stage10.stg@seg563+0xB | stage/stage10.stg@seg576+0xB
LIST_ITEM	ASCII	ascii	2	Face/FirmLoadArea_list.h@L3 | Face/FirmMachine_List.h@L3
LIST_PRODUCT	ASCII	ascii	2	Face/SaleMachine.h@L24 | Face/face_buymachine.h@L27
LIST_PRODUCT_1,	ASCII	ascii	2	Face/RetailMachine.h@L24 | Face/face_retailmachine.h@L38
LIST_PRODUCT_2,	ASCII	ascii	2	Face/RetailMachine.h@L25 | Face/face_retailmachine.h@L40
LOSS_PROFIT,	ASCII	ascii	2	Face/balance_info.h@L24 | Face/score_info.h@L24
M$PPj	ASCII	ascii	2	CEO.exe@RVA 7BB9D | CEO.exe@RVA 7BCED
MAP_NAME,	ASCII	ascii	2	Face/taskplay.h@L44 | Face/win_face.h@L22
MM/dd/yy	ASCII	ascii/utf16le	2	CEO.exe@RVA AA89C | CEO.exe@RVA AAAA4
MONTH_BUT,	ASCII	ascii	2	Face/balance_info.h@L32 | Face/profit_info.h@L30
Map01	ASCII	ascii/big5	2	data/maps.csv@L3 | stage/stage13.stg@seg0+0xC
Map02	ASCII	ascii/big5	2	data/maps.csv@L4 | stage/stage07.stg@seg0+0xC
Map03	ASCII	ascii/big5	2	data/maps.csv@L5 | stage/stage04.stg@seg0+0xC
Map04	ASCII	ascii/big5	2	data/maps.csv@L6 | stage/stage09.stg@seg0+0xC
Map06	ASCII	ascii/big5	2	data/maps.csv@L8 | stage/stage11.stg@seg0+0xC
Map07	ASCII	ascii/big5	2	data/maps.csv@L9 | stage/stage01.stg@seg0+0xC
Map09	ASCII	ascii/big5	2	data/maps.csv@L11 | stage/stage02.stg@seg0+0xC
Map11	ASCII	ascii/big5	2	data/maps.csv@L13 | stage/stage10.stg@seg0+0xC
Map12	ASCII	ascii/big5	2	data/maps.csv@L14 | stage/stage12.stg@seg0+0xC
Map13	ASCII	ascii/big5	2	data/maps.csv@L15 | stage/stage14.stg@seg0+0xC
Map14	ASCII	ascii/big5	2	data/maps.csv@L16 | stage/stage05.stg@seg0+0xC
Map15	ASCII	ascii/big5	2	data/maps.csv@L17 | stage/stage03.stg@seg0+0xC
Map16	ASCII	ascii/big5	2	data/maps.csv@L18 | stage/stage08.stg@seg0+0xC
Map17	ASCII	ascii/big5	2	data/maps.csv@L19 | stage/stage06.stg@seg0+0xC
March	ASCII	ascii/utf16le	2	CEO.exe@RVA AA940 | CEO.exe@RVA AAB04
Monday	ASCII	ascii/utf16le	2	CEO.exe@RVA AAA2C | CEO.exe@RVA AAB84
M~O@	ASCII	ascii	2	stage/stage08.stg@seg1782+0xB | stage/stage08.stg@seg1788+0xB
N@;M	ASCII	ascii	2	CEO.exe@RVA 80073 | CEO.exe@RVA 80353
NC39	ASCII	ascii	2	stage/stage08.stg@seg2171+0xB | stage/stage08.stg@seg2174+0xB
NOKu	ASCII	ascii	2	CEO.exe@RVA 2081D | CEO.exe@RVA 5AA1
November	ASCII	ascii/utf16le	2	CEO.exe@RVA AA8D4 | CEO.exe@RVA AAAC4
Nu?-HF	ASCII	ascii	2	CEO.exe@RVA ABFA5 | CEO.exe@RVA AD445
Nx5P	ASCII	ascii	2	stage/stage12.stg@seg578+0xB | stage/stage12.stg@seg579+0xB
O$RP	ASCII	ascii	2	CEO.exe@RVA 72E1A | CEO.exe@RVA 72EDC
O@KW	ASCII	ascii	2	stage/stage08.stg@seg1901+0xB | stage/stage08.stg@seg1916+0xB
OWNERDRAW1,	ASCII	ascii	2	Face/FirmBoard.h@L14 | Face/factinf_board.h@L32
October	ASCII	ascii/utf16le	2	CEO.exe@RVA AA8E8 | CEO.exe@RVA AAAD0
OrDc	ASCII	ascii	2	stage/stage11.stg@seg5505+0xB | stage/stage11.stg@seg5507+0xB
Ox9P	ASCII	ascii	2	stage/stage12.stg@seg572+0xB | stage/stage12.stg@seg586+0xB
PLAYER_BUT,	ASCII	ascii	2	Face/prod_info.h@L24 | Face/score_info.h@L145
POINT_NUM,	ASCII	ascii	2	Face/taskplay.h@L40 | Face/win_face.h@L24
PORT_SUM,	ASCII	ascii	2	Face/factinf_port.h@L21 | Face/factinf_pro.h@L52
PQRV	ASCII	ascii	2	CEO.exe@RVA 2314D | CEO.exe@RVA 2391A
PQRhb	ASCII	ascii	2	CEO.exe@RVA 2B4C1 | CEO.exe@RVA 2B507
PQSW	ASCII	ascii	2	CEO.exe@RVA 367AE | CEO.exe@RVA 3695E
PQWV	ASCII	ascii	2	CEO.exe@RVA 6BEE6 | CEO.exe@RVA 8134E
PRODKIND_COUNT,	ASCII	ascii	2	Face/face_machine.h@L28 | Face/face_put_machine.h@L19
PROGRASS_BAR	ASCII	ascii	2	Face/load_prograss.h@L3 | Face/save_prograss.h@L3
PRWSQ	ASCII	ascii	2	CEO.exe@RVA 66EEF | CEO.exe@RVA 67046
PSj?	ASCII	ascii	2	CEO.exe@RVA 96DA1 | CEO.exe@RVA 96DD9
Ph ,J	ASCII	ascii	2	CEO.exe@RVA 3A9D9 | CEO.exe@RVA 3ACD8
Pj<QS	ASCII	ascii	2	CEO.exe@RVA 290CF | CEO.exe@RVA 291B1
Q@KW	ASCII	ascii	2	stage/stage08.stg@seg1905+0xB | stage/stage08.stg@seg1913+0xB
QPPhp	ASCII	ascii	2	CEO.exe@RVA 4A8EB | CEO.exe@RVA 5A127
QRPV	ASCII	ascii	2	CEO.exe@RVA 2A763 | CEO.exe@RVA 88097
QRPW	ASCII	ascii	2	CEO.exe@RVA 368C5 | CEO.exe@RVA 84B2D
QRWV	ASCII	ascii	2	CEO.exe@RVA 10683 | CEO.exe@RVA 1078F
QSV3	ASCII	ascii	2	CEO.exe@RVA 52003 | CEO.exe@RVA 61043
QUEST_MODEL,	ASCII	ascii	2	Face/famhall1.h@L36 | Face/famhall2.h@L36
R-h,	ASCII	ascii	2	stage/stage11.stg@seg1051+0xB | stage/stage11.stg@seg1063+0xB
RANDOM_MODE,	ASCII	ascii	2	Face/MainMenu.h@L3 | Face/menu1.h@L3
RETAIL_PRICE,	ASCII	ascii	2	Face/factinf_board.h@L29 | Face/factinf_pro.h@L55
RPQh	ASCII	ascii	2	CEO.exe@RVA 7C861 | CEO.exe@RVA 7D71D
RVVVh@	ASCII	ascii	2	CEO.exe@RVA 3CA4F | CEO.exe@RVA 3F6F1
RVVh@	ASCII	ascii	2	CEO.exe@RVA 48FC0 | CEO.exe@RVA 61DA4
RWPj	ASCII	ascii	2	CEO.exe@RVA 28720 | CEO.exe@RVA 28964
RWSP	ASCII	ascii	2	CEO.exe@RVA 6C1D5 | CEO.exe@RVA 6C7EC
Rj<PS	ASCII	ascii	2	CEO.exe@RVA 2D0E0 | CEO.exe@RVA 2D50C
SALES_ALLOW,	ASCII	ascii	2	Face/face_salary_0.h@L19 | Face/inoutinfo.h@L43
SALES_DEC,	ASCII	ascii	2	Face/face_salary_0.h@L23 | Face/inoutinfo.h@L41
SALES_IDLE,	ASCII	ascii	2	Face/face_salary_0.h@L7 | Face/inoutinfo.h@L48
SCBAR_RETAIL,	ASCII	ascii	2	Face/RetailMachine.h@L23 | Face/face_retailmachine.h@L39
SCBAR_SALEMACHINE,	ASCII	ascii	2	Face/SaleMachine.h@L18 | Face/face_buymachine.h@L9
SCROLL1,	ASCII	ascii	2	Face/IO_rule.h@L18 | Face/factinf.h@L9
SCROLL_1,	ASCII	ascii	2	Face/fact_profit_info.h@L38 | Face/taskplay.h@L110
SEASON_BUT,	ASCII	ascii	2	Face/balance_info.h@L31 | Face/profit_info.h@L29
SHOW_AVGSELL,	ASCII	ascii	2	Face/RetailMachine.h@L21 | Face/face_retailmachine.h@L28
SHOW_BOX_AMOUNT,	ASCII	ascii	2	Face/RetailMachine.h@L32 | Face/face_retailmachine.h@L36
SHOW_BOX_LEFT,	ASCII	ascii	2	Face/RetailMachine.h@L17 | Face/face_retailmachine.h@L20
SHOW_DIRT,	ASCII	ascii	2	Face/ToBuildFirm-1.h@L3 | Face/forsale-mine.h@L9
SHOW_DIRT_NUM,	ASCII	ascii	2	Face/ToBuildFirm-1.h@L10 | Face/forsale-mine.h@L10
SHOW_DORM_NUM,	ASCII	ascii	2	Face/FirmDorm.h@L6 | Face/factinf_dorm.h@L17
SHOW_FIXFEE,	ASCII	ascii	2	Face/FirmMachine.h@L19 | Face/face_machine.h@L18
SHOW_ITEM_1,	ASCII	ascii	2	Face/FirmLoadArea-1.h@L173 | Face/MyFirmReport.h@L25
SHOW_ITEM_10,	ASCII	ascii	2	Face/FirmLoadArea-1.h@L182 | Face/MyFirmReport.h@L34
SHOW_ITEM_2,	ASCII	ascii	2	Face/FirmLoadArea-1.h@L174 | Face/MyFirmReport.h@L26
SHOW_ITEM_3,	ASCII	ascii	2	Face/FirmLoadArea-1.h@L175 | Face/MyFirmReport.h@L27
SHOW_ITEM_4,	ASCII	ascii	2	Face/FirmLoadArea-1.h@L176 | Face/MyFirmReport.h@L28
SHOW_ITEM_5,	ASCII	ascii	2	Face/FirmLoadArea-1.h@L177 | Face/MyFirmReport.h@L29
SHOW_ITEM_6,	ASCII	ascii	2	Face/FirmLoadArea-1.h@L178 | Face/MyFirmReport.h@L30
SHOW_ITEM_7,	ASCII	ascii	2	Face/FirmLoadArea-1.h@L179 | Face/MyFirmReport.h@L31
SHOW_ITEM_8,	ASCII	ascii	2	Face/FirmLoadArea-1.h@L180 | Face/MyFirmReport.h@L32
SHOW_ITEM_9,	ASCII	ascii	2	Face/FirmLoadArea-1.h@L181 | Face/MyFirmReport.h@L33
SHOW_ITEM_NEXT,	ASCII	ascii	2	Face/RetailMachine.h@L16 | Face/face_retailmachine.h@L23
SHOW_MANAGER_NEED,	ASCII	ascii	2	Face/SalaryAdjust.h@L3 | Face/face_machine.h@L62
SHOW_MONEY,	ASCII	ascii	2	Face/GameSetting.h@L15 | Face/main.h@L15
SHOW_NAME_1,	ASCII	ascii	2	Face/SaleMachine.h@L19 | Face/face_buymachine.h@L22
SHOW_NAME_2,	ASCII	ascii	2	Face/SaleMachine.h@L20 | Face/face_buymachine.h@L23
SHOW_NAME_3,	ASCII	ascii	2	Face/SaleMachine.h@L21 | Face/face_buymachine.h@L24
SHOW_NAME_4,	ASCII	ascii	2	Face/SaleMachine.h@L22 | Face/face_buymachine.h@L25
SHOW_NAME_5,	ASCII	ascii	2	Face/SaleMachine.h@L23 | Face/face_buymachine.h@L26
SHOW_NEXTITEM,	ASCII	ascii	2	Face/FirmMachine.h@L44 | Face/face_machine.h@L30
SHOW_OUT_NUM,	ASCII	ascii	2	Face/FirmMachine.h@L34 | Face/face_machine.h@L22
SHOW_OUT_QUANTITY,	ASCII	ascii	2	Face/ProductBook.h@L7 | Face/SaleMachineInfo.h@L22
SHOW_PRICE	ASCII	ascii	2	Face/FirmMachineSell.h@L6 | Face/MyFirmSell.h@L8
SHOW_PRODUCE_1,	ASCII	ascii	2	Face/FirmMachine.h@L39 | Face/face_machine.h@L50
SHOW_PRODUCE_2,	ASCII	ascii	2	Face/FirmMachine.h@L40 | Face/face_machine.h@L51
SHOW_PRODUCE_3,	ASCII	ascii	2	Face/FirmMachine.h@L41 | Face/face_machine.h@L52
SHOW_PRODUCE_4,	ASCII	ascii	2	Face/FirmMachine.h@L42 | Face/face_machine.h@L53
