文件	行号	类型	文本
Machine_type.csv	96	数值	-1
Machine_type.csv	96	数值	-1
Machine_type.csv	96	数值	-1
Machine_type.csv	96	数值	-1
Machine_type.csv	96	数值	-1
Machine_type.csv	96	数值	-1
Machine_type.csv	96	数值	-1
Machine_type.csv	96	数值	-1
Machine_type.csv	96	数值	-1
Machine_type.csv	96	数值	-1
Machine_type.csv	96	数值	-1
Machine_type.csv	96	数值	144000
Machine_type.csv	96	数值	402
Machine_type.csv	96	数值	628
Machine_type.csv	96	数值	1440000
Machine_type.csv	96	中文	高科技產品，新式自動木工機的次世代機種，只要一個管理者就能輕鬆操作，節省您的人事開銷，不過生產時間略長，售價也不便宜。
Machine_type.csv	97	数值	95
Machine_type.csv	97	中文	奈米重型木工機
Machine_type.csv	97	数值	530
Machine_type.csv	97	数值	531
Machine_type.csv	97	数值	2030
Machine_type.csv	97	数值	9999
Machine_type.csv	97	数值	-2
Machine_type.csv	97	数值	10
Machine_type.csv	97	数值	10
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-2
Machine_type.csv	97	中文	木工機
Machine_type.csv	97	数值	26
Machine_type.csv	97	数值	32
Machine_type.csv	97	数值	28
Machine_type.csv	97	数值	36
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	100
Machine_type.csv	97	数值	100
Machine_type.csv	97	数值	100
Machine_type.csv	97	数值	100
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	100
Machine_type.csv	97	数值	100
Machine_type.csv	97	数值	100
Machine_type.csv	97	数值	100
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	3187
Machine_type.csv	97	数值	3796
Machine_type.csv	97	数值	3491
Machine_type.csv	97	数值	4250
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	-1
Machine_type.csv	97	数值	103000
Machine_type.csv	97	数值	403
Machine_type.csv	97	数值	629
Machine_type.csv	97	数值	1030000
Machine_type.csv	97	中文	最頂級的重型木工機，製作傢俱的好幫手，如果您對產品沒什麼特別要求，重型就是最佳選擇了。
Machine_type.csv	98	数值	96
Machine_type.csv	98	中文	奈米小型木工機
Machine_type.csv	98	数值	532
Machine_type.csv	98	数值	533
Machine_type.csv	98	数值	2030
Machine_type.csv	98	数值	9999
Machine_type.csv	98	数值	10
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	中文	木工機
Machine_type.csv	98	数值	46
Machine_type.csv	98	数值	57
Machine_type.csv	98	数值	50
Machine_type.csv	98	数值	64
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	80
Machine_type.csv	98	数值	80
Machine_type.csv	98	数值	80
Machine_type.csv	98	数值	80
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	110
Machine_type.csv	98	数值	110
Machine_type.csv	98	数值	110
Machine_type.csv	98	数值	110
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	3187
Machine_type.csv	98	数值	3796
Machine_type.csv	98	数值	3491
Machine_type.csv	98	数值	4250
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	-1
Machine_type.csv	98	数值	41000
Machine_type.csv	98	数值	404
Machine_type.csv	98	数值	630
Machine_type.csv	98	数值	410000
Machine_type.csv	98	中文	最頂級的小型木工機，不僅能節省您寶貴的空間，售價及維修費用低廉更是它迷人之處，不過效能方面就差強人意了。
Machine_type.csv	99	数值	97
Machine_type.csv	99	中文	奈米省料木工機
Machine_type.csv	99	数值	534
Machine_type.csv	99	数值	535
Machine_type.csv	99	数值	2035
Machine_type.csv	99	数值	9999
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	10
Machine_type.csv	99	数值	-3
Machine_type.csv	99	数值	-2
Machine_type.csv	99	数值	-2
Machine_type.csv	99	数值	-4
Machine_type.csv	99	数值	10
Machine_type.csv	99	数值	-3
Machine_type.csv	99	数值	-4
Machine_type.csv	99	数值	-2
Machine_type.csv	99	中文	木工機
Machine_type.csv	99	数值	31
Machine_type.csv	99	数值	38
Machine_type.csv	99	数值	33
Machine_type.csv	99	数值	43
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	100
Machine_type.csv	99	数值	100
Machine_type.csv	99	数值	100
Machine_type.csv	99	数值	100
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	60
Machine_type.csv	99	数值	60
Machine_type.csv	99	数值	60
Machine_type.csv	99	数值	60
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	3187
Machine_type.csv	99	数值	3796
Machine_type.csv	99	数值	3491
Machine_type.csv	99	数值	4250
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	-1
Machine_type.csv	99	数值	123000
Machine_type.csv	99	数值	405
Machine_type.csv	99	数值	631
Machine_type.csv	99	数值	1230000
Machine_type.csv	99	中文	最頂級的省料木工機，體積雖然大了些，且需要四名員工才能操作，不過它能善用您的每分原料，讓缺料不再成為惡夢。
Machine_type.csv	100	数值	98
Machine_type.csv	100	中文	奈米高速木工機
Machine_type.csv	100	数值	536
Machine_type.csv	100	数值	537
Machine_type.csv	100	数值	2035
Machine_type.csv	100	数值	9999
Machine_type.csv	100	数值	-2
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	10
Machine_type.csv	100	数值	-2
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	中文	木工機
Machine_type.csv	100	数值	15
Machine_type.csv	100	数值	19
Machine_type.csv	100	数值	16
Machine_type.csv	100	数值	21
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	60
Machine_type.csv	100	数值	60
Machine_type.csv	100	数值	60
Machine_type.csv	100	数值	60
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	110
Machine_type.csv	100	数值	110
Machine_type.csv	100	数值	110
Machine_type.csv	100	数值	110
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	3187
Machine_type.csv	100	数值	3796
Machine_type.csv	100	数值	3491
Machine_type.csv	100	数值	4250
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	-1
Machine_type.csv	100	数值	113000
Machine_type.csv	100	数值	406
Machine_type.csv	100	数值	632
Machine_type.csv	100	数值	1130000
Machine_type.csv	100	中文	最頂級的高速木工機，雖然犧牲了品質，耗材略多，但能快速將產品堆滿您的庫房。
Machine_type.csv	101	数值	99
Machine_type.csv	101	中文	奈米自動木工機
Machine_type.csv	101	数值	538
Machine_type.csv	101	数值	539
Machine_type.csv	101	数值	2040
Machine_type.csv	101	数值	9999
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	10
Machine_type.csv	101	数值	-1
Machine_type.csv	101	中文	木工機
Machine_type.csv	101	数值	33
Machine_type.csv	101	数值	41
Machine_type.csv	101	数值	36
Machine_type.csv	101	数值	46
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	100
Machine_type.csv	101	数值	100
Machine_type.csv	101	数值	100
Machine_type.csv	101	数值	100
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	100
Machine_type.csv	101	数值	100
Machine_type.csv	101	数值	100
Machine_type.csv	101	数值	100
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	3187
Machine_type.csv	101	数值	3796
Machine_type.csv	101	数值	3491
Machine_type.csv	101	数值	4250
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	-1
Machine_type.csv	101	数值	164000
Machine_type.csv	101	数值	407
Machine_type.csv	101	数值	633
Machine_type.csv	101	数值	1640000
Machine_type.csv	101	中文	最頂級的高速木工機，只要一個管理者就能輕鬆操作，節省您的人事開銷，不過生產時間略長，售價也不便宜。
Machine_type.csv	102	数值	100
Machine_type.csv	102	中文	重型塑化機
Machine_type.csv	102	数值	145
Machine_type.csv	102	数值	146
Machine_type.csv	102	数值	1950
Machine_type.csv	102	数值	1980
Machine_type.csv	102	数值	-2
Machine_type.csv	102	数值	10
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	10
Machine_type.csv	102	数值	-2
Machine_type.csv	102	数值	-1
Machine_type.csv	102	中文	塑化機
Machine_type.csv	102	数值	18
Machine_type.csv	102	数值	16
Machine_type.csv	102	数值	10
Machine_type.csv	102	数值	32
Machine_type.csv	102	数值	28
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	100
Machine_type.csv	102	数值	100
Machine_type.csv	102	数值	100
Machine_type.csv	102	数值	100
Machine_type.csv	102	数值	100
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	100
Machine_type.csv	102	数值	100
Machine_type.csv	102	数值	100
Machine_type.csv	102	数值	100
Machine_type.csv	102	数值	100
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	2083
Machine_type.csv	102	数值	1852
Machine_type.csv	102	数值	1157
Machine_type.csv	102	数值	3704
Machine_type.csv	102	数值	3241
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	-1
Machine_type.csv	102	数值	230000
Machine_type.csv	102	数值	50
Machine_type.csv	102	数值	204
Machine_type.csv	102	数值	2300000
Machine_type.csv	102	中文	塑化機的實用型機種，如果您對產品沒什麼特別要求，重型就是最佳選擇了。
Machine_type.csv	103	数值	101
Machine_type.csv	103	中文	小型塑化機
Machine_type.csv	103	数值	147
Machine_type.csv	103	数值	148
Machine_type.csv	103	数值	1950
Machine_type.csv	103	数值	1980
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	10
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	中文	塑化機
Machine_type.csv	103	数值	32
Machine_type.csv	103	数值	28
Machine_type.csv	103	数值	18
Machine_type.csv	103	数值	57
Machine_type.csv	103	数值	50
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	80
Machine_type.csv	103	数值	80
Machine_type.csv	103	数值	80
Machine_type.csv	103	数值	80
Machine_type.csv	103	数值	80
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	110
Machine_type.csv	103	数值	110
Machine_type.csv	103	数值	110
Machine_type.csv	103	数值	110
Machine_type.csv	103	数值	110
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	2083
Machine_type.csv	103	数值	1852
Machine_type.csv	103	数值	1157
Machine_type.csv	103	数值	3704
Machine_type.csv	103	数值	3241
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	-1
Machine_type.csv	103	数值	92000
Machine_type.csv	103	数值	51
Machine_type.csv	103	数值	205
Machine_type.csv	103	数值	920000
Machine_type.csv	103	中文	造型輕巧的塑化機，不僅能節省您寶貴的空間，售價及維修費用低廉更是它迷人之處，不過效能方面就差強人意了。
Machine_type.csv	104	数值	102
Machine_type.csv	104	中文	省料塑化機
Machine_type.csv	104	数值	149
Machine_type.csv	104	数值	150
Machine_type.csv	104	数值	1955
Machine_type.csv	104	数值	1985
Machine_type.csv	104	数值	10
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-4
Machine_type.csv	104	数值	-3
Machine_type.csv	104	数值	10
Machine_type.csv	104	数值	-2
Machine_type.csv	104	数值	-3
Machine_type.csv	104	数值	-3
Machine_type.csv	104	中文	塑化機
Machine_type.csv	104	数值	21
Machine_type.csv	104	数值	19
Machine_type.csv	104	数值	12
Machine_type.csv	104	数值	38
Machine_type.csv	104	数值	33
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	100
Machine_type.csv	104	数值	100
Machine_type.csv	104	数值	100
Machine_type.csv	104	数值	100
Machine_type.csv	104	数值	100
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	60
Machine_type.csv	104	数值	60
Machine_type.csv	104	数值	60
Machine_type.csv	104	数值	60
Machine_type.csv	104	数值	60
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	2083
Machine_type.csv	104	数值	1852
Machine_type.csv	104	数值	1157
Machine_type.csv	104	数值	3704
Machine_type.csv	104	数值	3241
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	-1
Machine_type.csv	104	数值	276000
Machine_type.csv	104	数值	52
Machine_type.csv	104	数值	206
Machine_type.csv	104	数值	2760000
Machine_type.csv	104	中文	節省原料的塑化機，體積雖然大了些，且需要四名員工才能操作，不過它能善用您的每分原料，讓缺料不再成為惡夢。
Machine_type.csv	105	数值	103
Machine_type.csv	105	中文	高速塑化機
